signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,industry_group,sector_cycle_sensitive,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components,v_score,c_score,r_score,f_score,sleeve,current_price,recognition_upside_signal,fundamental_momentum_score,price_strength_12m,philosophy_fit_score,expectation_error_score,candidate_rank,sector_member_count_x,sector_cycle_sensitive_ratio_x,sector_attack_ready_ratio_x,sector_trend_ratio_x,sector_median_underwrite_x,sector_median_realization_x,sector_median_upside_x,sector_cycle_score_x,sector_cycle_state_x,idiosyncratic_override,selection_rank,sector_member_count_y,sector_cycle_sensitive_ratio_y,sector_attack_ready_ratio_y,sector_trend_ratio_y,sector_median_underwrite_y,sector_median_realization_y,sector_median_upside_y,sector_cycle_score_y,sector_cycle_state_y,sector_member_count,sector_cycle_score,sector_cycle_state,vcrf_state_rank,round_id,slot_in_round
2024-03-29,2024-04-01,000627,ATTACK,3.76,5.51,80.21,1,tushare_pit_v1,89.29,66.59,attack,turnaround,financial_asset,insurers,True,latent,2024-03-29,,100.0,3.7569501194394,1.52103243702,stressed_nav,80.0,2.0,2.0,1.5,,4.057764288544706,,True,False,0.8,False,False,100.0,81.73,85.0,4.591827923759268,1.8590396452466669,financial_asset_mid_cycle_roe,0.23,0.34,0.18,0.05,0.2,80.0,repairing,73.0,65.0,False,49.5,latent,76.08,76.265944136,76.265944136,False,50.0,True,0.35,0.183333,0.05,0.366667,0.05,0.0,catalyst_quality,,,,,value_repair,2.472005138408866,1.2289597680798403,80.25,0.2,95.0,6.067318,3.652306,2,1.0,0.5,0.5,69.05,67.77,0.263901,54.050509,avoid,True,3.652306,2,1.0,0.5,0.5,69.05,67.77,0.263901,54.050509,avoid,0,50.0,neutral,3,1,1
2024-10-31,2024-11-01,000042,ATTACK,7.06,10.36,83.06,1,tushare_pit_v1,89.77,73.0,attack,turnaround,financial_asset,developers,True,ignition,2024-10-31,,100.0,7.062771592201223,1.3427322418633505,stressed_nav,82.0,1.06710391503966,1.06710391503966,1.491807203041288,0.0045244548648846,3.718449201132622,,True,False,0.8,False,False,100.0,77.89,85.0,8.632276390468162,1.6411171844996506,financial_asset_mid_cycle_roe,0.23,0.34,0.18,0.05,0.2,80.0,repairing,73.0,65.0,False,64.5,ignition,94.25,100.0,100.0,False,50.0,True,0.35,0.183333,0.05,0.366667,0.05,0.0,catalyst_quality,,,,,value_repair,5.2579358563719465,0.9703549611479194,80.25,0.4,95.0,4.890709,3.637851,12,1.0,0.333333,1.0,51.64,66.29,-0.206732,53.936681,avoid,True,3.637851,12,1.0,0.333333,1.0,51.64,66.29,-0.206732,53.936681,avoid,0,50.0,neutral,3,1,2
2024-08-30,2024-09-02,600048,ATTACK,15.07,22.1,82.48,1,tushare_pit_v1,91.22,69.37,attack,compounder,financial_asset,developers,True,ignition,2024-08-30,,100.0,15.065096988406882,1.8553075108875472,stressed_nav,72.0,2.1279942275861146,2.1279942275861146,-0.2485932381940168,0.0559785192711906,4.123036470507431,7.054166496736222,True,False,0.8,True,False,100.0,82.5,100.0,18.41289631916397,2.267598068862558,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,80.0,False,66.75,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,8.122642694844032,1.72078938225712,67.0,0.4,95.0,3.624768,3.348325,12,1.0,0.416667,0.583333,62.115,63.515,0.124181,50.345397,avoid,False,3.348325,12,1.0,0.416667,0.583333,62.115,63.515,0.124181,50.345397,avoid,0,50.0,neutral,3,2,1
2024-08-30,2024-09-02,000001,ATTACK,21.87,32.08,80.56,1,tushare_pit_v1,89.02,67.87,attack,compounder,financial_asset,banks,True,ignition,2024-08-30,,100.0,21.869593236272404,2.1995994019660485,stressed_nav,80.0,2.0,2.0,1.5,,4.207654844871414,0.582944243591374,True,False,0.8,False,False,100.0,56.14,100.0,26.72950284433294,2.688399269069615,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,65.0,False,66.75,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,9.94271956086737,2.226481427300907,67.0,0.4,95.0,3.624768,3.238263,5,1.0,1.0,0.8,85.93,54.59,2.226481,83.8075,favored,False,3.238263,5,1.0,1.0,0.8,85.93,54.59,2.226481,83.8075,favored,0,50.0,neutral,3,2,2
2022-04-29,2022-05-05,000635,ATTACK,7.77,11.39,77.17,1,tushare_pit_v1,81.07,71.33,attack,turnaround,financial_asset,developers,True,ignition,2022-04-29,,85.0,7.768099182375396,1.0329919125499198,stressed_nav,80.0,2.0,2.0,1.5,,7.503541889603093,-15.245660607448915,True,False,0.8,False,False,100.0,66.49,65.0,9.494343445125486,1.2625456708943466,financial_asset_mid_cycle_roe,0.23,0.34,0.18,0.05,0.2,75.0,repairing,73.0,30.0,False,69.5,ignition,94.25,100.0,100.0,False,50.0,True,0.35,0.183333,0.05,0.366667,0.05,0.0,catalyst_quality,,,,,value_repair,7.5218401089122855,0.5142571279206678,70.5,0.4,95.0,3.959168,3.088838,12,1.0,0.333333,0.833333,56.75,55.3,0.003805,50.443883,avoid,True,3.088838,12,1.0,0.333333,0.833333,56.75,55.3,0.003805,50.443883,avoid,0,50.0,neutral,3,3,1
2021-09-30,2021-10-08,600016,ATTACK,9.66,14.17,81.18,1,tushare_pit_v1,89.42,68.82,attack,compounder,financial_asset,banks,True,trend,2021-09-30,,100.0,9.663423519285862,3.0252622802586107,stressed_nav,80.0,2.0,2.0,1.5,,3.86260063357638,0.4116399717269248,True,False,0.8,False,False,100.0,58.78,100.0,11.810850968016052,3.697542786982746,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,25.0,none,57.2,50.0,False,85.0,trend,41.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,3.193111573510984,3.437677692677486,63.05,0.7,95.0,1.482462,2.931738,5,1.0,0.4,1.0,66.67,68.82,0.430988,65.074379,neutral,False,2.931738,5,1.0,0.4,1.0,66.67,68.82,0.430988,65.074379,neutral,0,50.0,neutral,3,3,2
2024-08-30,2024-09-02,000926,ATTACK,6.86,10.05,76.49,1,tushare_pit_v1,82.55,67.39,attack,compounder,financial_asset,developers,True,ignition,2024-08-30,,100.0,6.855327682350812,3.4976161644647004,stressed_nav,35.0,0.5651868937029907,0.5651868937029907,-0.1955465132904072,-0.0347632523848515,4.13130266628585,2.8131592109766896,True,False,0.8,True,False,100.0,78.99,100.0,8.378733833984326,4.274864201012411,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,50.0,False,63.75,ignition,94.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,1.9613358577469586,4.12405866659916,67.0,0.4,95.0,3.624768,2.941782,12,1.0,0.416667,0.583333,62.115,63.515,0.124181,50.345397,avoid,False,2.941782,12,1.0,0.416667,0.583333,62.115,63.515,0.124181,50.345397,avoid,0,50.0,neutral,3,4,1
2022-11-30,2022-12-01,601916,ATTACK,5.6,8.21,80.5,1,tushare_pit_v1,89.23,67.4,attack,compounder,financial_asset,banks,True,trend,2022-11-30,,100.0,5.600811207690768,2.2935401580423656,stressed_nav,80.0,2.0,2.0,1.5,,3.9603697421033983,0.3485787667004174,True,False,0.8,False,False,100.0,57.52,100.0,6.845435920510939,2.8032157487184466,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,20.0,none,57.2,65.0,False,81.75,trend,13.75,10.0,10.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,2.4416402653179783,2.3624936959871117,61.3,0.7,95.0,1.315262,2.825511,5,1.0,0.8,0.8,85.72,60.43,1.220746,78.944,favored,False,2.825511,5,1.0,0.8,0.8,85.72,60.43,1.220746,78.944,favored,0,50.0,neutral,3,4,2
2024-02-29,2024-03-01,600637,ATTACK,7.73,11.34,77.06,1,tushare_pit_v1,82.36,69.1,attack,compounder,financial_asset,developers,True,trend,2024-02-29,,85.0,7.730378756953487,1.07707332399107,stressed_nav,95.0,11.271502394025068,11.271502394025068,0.8004751665729782,0.3808136482875922,8.077250273281482,6.364180186202384,True,False,0.8,True,False,100.0,64.04,65.0,9.448240702943153,1.3164229515446413,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,20.0,none,57.2,65.0,False,83.5,trend,31.16,30.487765416,30.487765416,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,7.176855862845685,0.5800791066052693,47.3,0.7,85.0,-0.022337,2.165592,12,1.0,0.25,0.916667,56.61,68.94,-0.062285,52.073313,avoid,False,2.165592,12,1.0,0.25,0.916667,56.61,68.94,-0.062285,52.073313,avoid,0,50.0,neutral,3,5,1
2023-08-31,2023-09-01,000728,ATTACK,6.79,9.96,74.19,1,tushare_pit_v1,78.4,67.87,attack,compounder,financial_asset,banks,True,trend,2023-08-31,,85.0,6.7922264499664315,1.000330432661937,stressed_nav,80.0,22.538406505205938,22.538406505205938,-2.384845755455245,0.3057476961322927,6.107208307371167,1.095327176445403,True,False,0.8,False,False,100.0,59.64,65.0,8.301610105514527,1.2226260843645895,financial_asset_mid_cycle_roe,0.23,0.22,0.18,0.15,0.22,20.0,none,57.2,65.0,False,82.5,trend,16.0,10.0,10.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,quality,6.787757103351757,0.4673477333303231,47.3,0.7,85.0,-0.022337,1.978845,5,1.0,0.8,1.0,89.02,67.67,1.763151,85.887,favored,False,1.978845,5,1.0,0.8,1.0,89.02,67.67,1.763151,85.887,favored,0,50.0,neutral,3,5,2
