signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components,v_score,c_score,r_score,f_score,vcrf_state_rank,round_id,slot_in_round
2020-07-31,2020-08-03,600090,ATTACK,4.17,6.12,76.65,1,tushare_pit_v1,84.01,65.62,attack,compounder,financial_asset,ignition,2020-07-31,,100.0,4.172453239507655,2.305359249880899,stressed_nav,44.0,0.837982389854467,0.837982389854467,-0.3364812971856408,-0.0135266498833633,5.49233321830496,7.061752150863091,True,False,0.8,True,False,100.0,75.55,100.0,5.099665070509356,2.8176613054099873,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,50.0,False,60.0,ignition,94.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,1,1
2021-05-31,2021-06-01,600393,ATTACK,1.8,2.64,78.43,1,tushare_pit_v1,76.03,82.03,attack,compounder,financial_asset,trend,2021-05-31,debt wall coverage fails survival tripwire,100.0,1.7974881156259768,1.2569846962419418,stressed_nav,20.0,0.7800170214360853,0.7800170214360853,0.1075898914269049,-0.0105206884232716,4.357102598540794,0.0665447517578597,True,False,0.8,False,True,100.0,79.51,85.0,2.1969299190984164,1.5363146287401517,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,73.0,65.0,False,92.0,trend,90.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,1,2
2021-12-31,2022-01-04,000926,ATTACK,7.47,10.96,78.74,1,tushare_pit_v1,85.85,68.08,attack,compounder,financial_asset,ignition,2021-12-31,,100.0,7.472661126267658,2.4861922989218233,stressed_nav,50.0,0.4916055480254998,0.4916055480254998,0.6744501680808604,-0.0625845676978584,3.6067903454139,2.3832411734667245,True,False,0.8,True,False,100.0,78.99,100.0,9.13325248766047,3.0386794764600062,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,65.0,65.0,False,68.75,ignition,91.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,1,3
2022-01-28,2022-02-07,000042,ATTACK,11.01,16.15,79.55,1,tushare_pit_v1,87.22,68.04,attack,compounder,financial_asset,ignition,2022-01-28,,100.0,11.009804088605891,1.4004939610301708,stressed_nav,72.0,1.889389085972688,1.889389085972688,-0.1493926273199378,0.037193333346313,4.16109501164961,2.2761495914394403,True,False,0.8,True,False,100.0,77.89,85.0,13.4564272194072,1.711714841259098,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,65.0,65.0,False,68.75,ignition,90.42,99.018555456,99.018555456,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,2,1
2022-04-29,2022-05-05,000006,ATTACK,4.89,7.17,78.78,1,tushare_pit_v1,77.72,80.38,attack,compounder,financial_asset,trend,2022-04-29,,85.0,4.88648426943397,1.1758470632374651,stressed_nav,62.0,1.2300412057359364,1.2300412057359364,-0.0566263477013455,0.0211325770508866,4.467697328209038,1.017641992564936,True,False,0.8,False,False,100.0,81.56,65.0,5.972369662641519,1.4371464106235683,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,50.0,False,92.0,trend,87.24,96.456086396,96.456086396,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,2,2
2022-06-30,2022-07-01,000001,ATTACK,16.5,24.2,77.68,1,tushare_pit_v1,85.72,65.63,attack,compounder,financial_asset,trend,2022-06-30,,100.0,16.49909586434451,1.2575049082550465,stressed_nav,80.0,2.0,2.0,1.5,,4.037332914024739,0.6699741686826028,True,False,0.8,False,False,100.0,56.14,85.0,20.165561611976628,1.536950443422835,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,65.0,50.0,False,72.0,trend,41.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,2,3
2022-06-30,2022-07-01,600297,ATTACK,4.71,6.91,75.32,1,tushare_pit_v1,78.81,70.08,attack,compounder,financial_asset,trend,2022-06-30,,100.0,4.71414004696933,1.806183926041889,stressed_nav,20.0,0.3896351367788555,0.3896351367788555,-0.1886373204592945,-0.2139416409980361,2.926977440094499,2.7736478434838876,True,False,0.8,True,False,100.0,76.05,100.0,5.761726724073626,2.207558131828976,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,47.2,65.0,False,92.0,trend,46.02,45.320510592,45.320510592,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,3,1
2022-11-30,2022-12-01,000002,ATTACK,17.75,26.03,72.44,1,tushare_pit_v1,77.18,65.33,attack,compounder,financial_asset,trend,2022-11-30,,85.0,17.745351140468465,1.0003850704196418,stressed_nav,72.0,1.7771012233195551,1.7771012233195551,-0.0624383073633846,0.0283585039098477,3.927451439474871,31.46400476356217,True,False,0.8,True,False,100.0,63.26,65.0,21.688762505017017,1.2226928638462289,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,57.2,80.0,False,71.25,trend,41.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,3,2
2023-02-28,2023-03-01,600637,ATTACK,7.39,10.83,73.56,1,tushare_pit_v1,79.06,65.32,attack,compounder,financial_asset,ignition,2023-02-28,,85.0,7.387144249220502,1.0736785130410362,stressed_nav,80.0,15.345047720744551,15.345047720744551,-0.0800165699449091,0.3651955007062287,7.921342032297595,-0.2496785765155466,True,False,0.8,False,False,100.0,64.04,65.0,9.028731860158391,1.3122737381612664,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,65.0,65.0,False,68.75,ignition,36.05,31.525814204,31.525814204,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,3,3
2024-01-31,2024-02-01,600859,ATTACK,15.38,22.55,76.25,1,tushare_pit_v1,83.11,65.97,attack,compounder,financial_asset,ignition,2024-01-31,,85.0,15.37730603592151,1.1255537037597008,stressed_nav,100.0,8.475918269540257,8.475918269540257,2.102073723938218,0.2406979110805981,6.543669608139239,5.679025978981443,True,False,0.8,True,False,100.0,61.71,65.0,18.794485155015177,1.3756767490396342,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,73.0,65.0,False,60.75,ignition,64.08,64.500733022,64.500733022,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,4,1
