signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components,v_score,c_score,r_score,f_score,vcrf_state_rank,round_id,slot_in_round
2021-02-26,2021-03-01,600090,ATTACK,3.88,5.68,76.28,1,tushare_pit_v1,78.73,72.61,attack,compounder,financial_asset,ignition,2021-02-26,debt wall coverage fails survival tripwire,100.0,3.8759716884795847,2.3209411308260988,stressed_nav,20.0,0.0536565402631213,0.0536565402631213,-0.0038905748701759,-0.0801717150317712,5.035140453192116,1.0145832236714258,True,False,0.8,False,True,100.0,75.55,100.0,4.737298730363937,2.836705826565232,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,80.0,False,68.75,ignition,91.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,1,1
2021-05-31,2021-06-01,600393,ATTACK,1.8,2.64,78.43,1,tushare_pit_v1,76.03,82.03,attack,compounder,financial_asset,trend,2021-05-31,debt wall coverage fails survival tripwire,100.0,1.7974881156259768,1.2569846962419418,stressed_nav,20.0,0.7800170214360853,0.7800170214360853,0.1075898914269049,-0.0105206884232716,4.357102598540794,0.0665447517578597,True,False,0.8,False,True,100.0,79.51,85.0,2.1969299190984164,1.5363146287401517,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,73.0,65.0,False,92.0,trend,90.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,1,2
2022-04-29,2022-05-05,000006,ATTACK,4.89,7.17,78.78,1,tushare_pit_v1,77.72,80.38,attack,compounder,financial_asset,trend,2022-04-29,,85.0,4.88648426943397,1.1758470632374651,stressed_nav,62.0,1.2300412057359364,1.2300412057359364,-0.0566263477013455,0.0211325770508866,4.467697328209038,1.017641992564936,True,False,0.8,False,False,100.0,81.56,65.0,5.972369662641519,1.4371464106235683,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,50.0,False,92.0,trend,87.24,96.456086396,96.456086396,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,1,3
2022-06-30,2022-07-01,600297,ATTACK,4.71,6.91,75.32,1,tushare_pit_v1,78.81,70.08,attack,compounder,financial_asset,trend,2022-06-30,,100.0,4.71414004696933,1.806183926041889,stressed_nav,20.0,0.3896351367788555,0.3896351367788555,-0.1886373204592945,-0.2139416409980361,2.926977440094499,2.7736478434838876,True,False,0.8,True,False,100.0,76.05,100.0,5.761726724073626,2.207558131828976,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,47.2,65.0,False,92.0,trend,46.02,45.320510592,45.320510592,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,2,1
2023-08-31,2023-09-01,000002,ATTACK,18.81,27.59,83.52,1,tushare_pit_v1,86.13,79.6,attack,compounder,financial_asset,trend,2023-08-31,,100.0,18.808102128507084,1.378893117925739,stressed_nav,77.0,2.491485973075709,2.491485973075709,0.0380159337752691,0.0434333248828001,4.056913104671249,8.6090842236824,True,False,0.8,True,False,100.0,63.26,85.0,22.98768037928644,1.6853138107981258,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,65.0,False,92.0,trend,41.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,2,2
2024-01-31,2024-02-01,000001,ATTACK,19.73,28.94,85.25,1,tushare_pit_v1,89.02,79.6,attack,compounder,financial_asset,trend,2024-01-31,,100.0,19.73359220475555,2.2838764115090786,stressed_nav,80.0,2.0,2.0,1.5,,4.101722554686146,0.6010661764705882,True,False,0.8,False,False,100.0,56.14,100.0,24.11883491692345,2.7914045029555408,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,73.0,65.0,False,92.0,trend,41.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,2,3
2024-03-29,2024-04-01,600705,ATTACK,4.05,5.94,82.39,1,tushare_pit_v1,84.79,78.79,attack,compounder,financial_asset,trend,2024-03-29,,100.0,4.051483288288453,1.3477624860183763,stressed_nav,62.0,1.2885485208280087,1.2885485208280087,-1.0352287615761226,0.0545309320943125,3.9278030744739807,0.9692292815899658,True,False,0.8,False,False,100.0,76.35,85.0,4.951812907908109,1.6472652606891265,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,65.0,False,92.0,trend,25.35,23.642548016,23.642548016,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,3,1
2024-04-30,2024-05-06,000042,ATTACK,7.88,11.56,80.26,1,tushare_pit_v1,79.08,82.03,attack,compounder,financial_asset,trend,2024-04-30,debt wall coverage fails survival tripwire,100.0,7.881091623144965,1.7631077456700148,stressed_nav,20.0,0.6304613734009675,0.6304613734009675,0.3609267184788295,-0.0296480431676639,3.681901025639673,,True,False,0.8,False,True,100.0,77.89,100.0,9.63244531717718,2.154909466930018,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,73.0,65.0,False,92.0,trend,90.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,3,2
2024-07-31,2024-08-01,000926,ATTACK,6.86,10.05,82.34,1,tushare_pit_v1,82.55,82.03,attack,compounder,financial_asset,trend,2024-07-31,,100.0,6.855327681871758,3.1160580372144353,stressed_nav,35.0,0.5651868937029907,0.5651868937029907,-0.1955465132904072,-0.0347632523848515,4.13130266628585,2.8131592109766896,True,False,0.8,True,False,100.0,78.99,100.0,8.378733833398817,3.808515378817644,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,65.0,False,92.0,trend,90.25,100.0,100.0,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,3,3
2024-07-31,2024-08-01,600859,ATTACK,15.8,23.18,80.16,1,tushare_pit_v1,80.91,79.04,attack,compounder,financial_asset,trend,2024-07-31,,85.0,15.803692730835056,1.082444707591442,stressed_nav,90.0,8.529809149113525,8.529809149113525,0.4342493870768976,0.2324981364227405,6.381075303813322,19.36804839507797,True,False,0.8,True,False,100.0,61.71,65.0,19.315624448798403,1.3229879759450962,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,73.0,50.0,False,92.0,trend,60.29,62.10603476,62.10603476,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality,,,,,3,4,1
