signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2019-02-28,2019-03-01,600276,REJECT,2.28,6.26,41.47,1,tushare_pit_v1,42.12,40.5,reject,compounder,unknown,2019-02-28,
2019-03-27,2019-03-28,600150,REJECT,8.64,4.55,47.74,1,tushare_pit_v1,50.8,43.15,reject,compounder,rigid_shovel,2019-03-27,
2019-03-29,2019-04-01,601088,REJECT,9.06,17.13,56.89,1,tushare_pit_v1,67.31,41.25,reject,compounder,core_resource,2019-03-29,
2019-03-29,2019-04-01,601333,REJECT,2.87,1.04,51.04,1,tushare_pit_v1,54.24,46.24,reject,compounder,unknown,2019-03-29,
2019-03-29,2019-04-01,603259,REJECT,4.57,7.78,48.47,1,tushare_pit_v1,49.27,47.27,reject,compounder,unknown,2019-03-29,
2019-03-29,2019-04-01,000858,REJECT,24.59,62.24,44.13,1,tushare_pit_v1,44.68,43.3,reject,compounder,consumer,2019-03-29,
2019-03-29,2019-04-01,600276,REJECT,2.28,6.28,41.47,1,tushare_pit_v1,42.12,40.5,reject,compounder,unknown,2019-03-29,
2019-03-29,2019-04-01,600036,REJECT,15.21,22.31,41.07,1,tushare_pit_v1,40.58,41.8,reject,compounder,financial_asset,2019-03-29,
2019-03-29,2019-04-01,000063,REJECT,4.91,-15.68,40.54,1,tushare_pit_v1,39.7,41.8,reject,compounder,unknown,2019-03-29,
2019-03-29,2019-04-01,601899,REJECT,1.33,1.9,39.84,1,tushare_pit_v1,38.9,41.25,reject,compounder,core_resource,2019-03-29,debt wall coverage fails survival tripwire
2019-03-29,2019-04-01,002594,REJECT,15.85,12.97,38.64,1,tushare_pit_v1,35.96,42.65,reject,compounder,rigid_shovel,2019-03-29,debt wall coverage fails survival tripwire
2019-04-30,2019-05-06,601333,REJECT,2.91,0.27,52.31,1,tushare_pit_v1,56.88,45.45,reject,compounder,unknown,2019-04-30,
2019-04-30,2019-05-06,601088,REJECT,9.42,3.7,51.99,1,tushare_pit_v1,58.81,41.75,reject,compounder,core_resource,2019-04-30,
2019-04-30,2019-05-06,601138,REJECT,1.0,3.46,50.34,1,tushare_pit_v1,50.8,49.65,reject,compounder,tech,2019-04-30,
2019-04-30,2019-05-06,300750,REJECT,6.27,2.79,49.54,1,tushare_pit_v1,51.14,47.13,reject,compounder,unknown,2019-04-30,
