signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-04-30,2024-05-06,600348,REJECT,7.28,2.89,50.33,1,public_source_watchlist_v1,55.51,42.55,reject,compounder,core_resource,2024-04-30,
2024-05-31,2024-06-03,600348,REJECT,7.28,2.89,45.28,1,public_source_watchlist_v1,49.76,38.55,reject,compounder,core_resource,2024-05-31,
2024-06-28,2024-07-01,600348,REJECT,7.28,2.89,46.3,1,public_source_watchlist_v1,49.76,41.12,reject,compounder,core_resource,2024-06-28,
2024-07-31,2024-08-01,600348,HARVEST,7.28,2.89,54.67,1,public_source_watchlist_v1,60.81,45.45,harvest,cyclical,core_resource,2024-07-31,
2024-08-30,2024-09-02,600348,REJECT,7.04,4.32,51.72,1,public_source_watchlist_v1,57.06,43.7,reject,cyclical,core_resource,2024-08-30,
2024-09-30,2024-10-08,600348,REJECT,7.04,4.32,48.11,1,public_source_watchlist_v1,52.06,42.19,reject,cyclical,core_resource,2024-09-30,
2024-10-31,2024-11-01,600348,REJECT,7.19,6.05,52.1,1,public_source_watchlist_v1,56.31,45.79,reject,cyclical,core_resource,2024-10-31,
2024-11-29,2024-12-02,600348,REJECT,7.19,6.05,51.51,1,public_source_watchlist_v1,56.31,44.31,reject,cyclical,core_resource,2024-11-29,
2024-12-31,2025-01-02,600348,HARVEST,7.19,6.05,54.39,1,public_source_watchlist_v1,61.31,44.0,harvest,cyclical,core_resource,2024-12-31,
2025-01-27,2025-02-05,600348,HARVEST,7.19,6.05,54.7,1,public_source_watchlist_v1,61.31,44.78,harvest,cyclical,core_resource,2025-01-27,
2025-02-28,2025-03-03,600348,HARVEST,7.19,6.05,55.04,1,public_source_watchlist_v1,61.31,45.64,harvest,cyclical,core_resource,2025-02-28,
2025-03-31,2025-04-01,600348,HARVEST,7.19,6.05,55.83,1,public_source_watchlist_v1,61.31,47.6,harvest,cyclical,core_resource,2025-03-31,
2025-04-30,2025-05-06,600348,HARVEST,8.03,1.99,55.77,1,public_source_watchlist_v1,62.56,45.58,harvest,cyclical,core_resource,2025-04-30,
2025-05-30,2025-06-03,600348,HARVEST,8.03,1.99,55.22,1,public_source_watchlist_v1,62.56,44.21,harvest,cyclical,core_resource,2025-05-30,
2025-06-30,2025-07-01,600348,HARVEST,8.03,1.99,55.66,1,public_source_watchlist_v1,62.56,45.31,harvest,cyclical,core_resource,2025-06-30,
2025-07-31,2025-08-01,600348,REJECT,8.03,1.99,53.67,1,public_source_watchlist_v1,58.81,45.97,reject,cyclical,core_resource,2025-07-31,
2025-08-29,2025-09-01,600348,REJECT,8.03,1.99,53.06,1,public_source_watchlist_v1,58.81,44.43,reject,cyclical,core_resource,2025-08-29,
2025-09-30,2025-10-09,600348,HARVEST,7.83,2.6,54.08,1,public_source_watchlist_v1,60.06,45.12,harvest,cyclical,core_resource,2025-09-30,
2025-10-31,2025-11-03,600348,REJECT,7.91,3.74,50.95,1,public_source_watchlist_v1,55.06,44.78,reject,cyclical,core_resource,2025-10-31,
2025-11-28,2025-12-01,600348,HARVEST,7.91,3.74,53.37,1,public_source_watchlist_v1,60.06,43.33,harvest,cyclical,core_resource,2025-11-28,
2025-12-31,2025-12-31,600348,REJECT,7.91,3.74,49.77,1,public_source_watchlist_v1,55.06,41.84,reject,cyclical,core_resource,2025-12-31,
