signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-04-30,2024-05-06,600568,REJECT,1.1,1.61,54.62,0,public_source_watchlist_v1,61.99,43.56,reject,special_situation,financial_asset,2024-04-30,
2024-04-30,2024-05-06,600348,REJECT,7.28,2.89,50.33,1,public_source_watchlist_v1,55.51,42.55,reject,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,002121,REJECT,0.53,0.78,37.99,1,public_source_watchlist_v1,29.55,50.64,reject,compounder,financial_asset,2024-04-30,debt wall coverage fails survival tripwire
2024-04-30,2024-05-06,600221,REJECT,0.05,0.16,31.47,1,public_source_watchlist_v1,26.4,39.08,reject,compounder,unknown,2024-04-30,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600568,REJECT,1.1,1.61,49.95,0,public_source_watchlist_v1,54.74,42.76,reject,special_situation,financial_asset,2024-05-31,
2024-05-31,2024-06-03,600348,REJECT,7.28,2.89,45.28,1,public_source_watchlist_v1,49.76,38.55,reject,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,002121,REJECT,0.53,0.78,38.45,1,public_source_watchlist_v1,29.55,51.79,reject,compounder,financial_asset,2024-05-31,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600221,REJECT,0.05,0.16,31.47,1,public_source_watchlist_v1,26.4,39.08,reject,compounder,unknown,2024-05-31,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600568,READY,1.1,1.61,60.39,0,public_source_watchlist_v1,71.79,43.28,ready,special_situation,financial_asset,2024-06-28,
2024-06-28,2024-07-01,600348,REJECT,7.28,2.89,46.3,1,public_source_watchlist_v1,49.76,41.12,reject,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,002121,REJECT,0.53,0.78,37.95,1,public_source_watchlist_v1,29.55,50.54,reject,compounder,financial_asset,2024-06-28,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600221,REJECT,0.05,0.16,33.96,1,public_source_watchlist_v1,26.4,45.3,reject,compounder,unknown,2024-06-28,debt wall coverage fails survival tripwire
