date,ticker,open,high,low,close,volume,amount
2023-01-03,000425,5.06,5.22,5.03,5.14,42616057.0,218862458.98
2023-01-04,000425,5.11,5.29,5.11,5.25,47965180.0,250612830.96
2023-01-05,000425,5.26,5.33,5.26,5.28,30088664.0,159303727.39
2023-01-06,000425,5.26,5.31,5.25,5.27,29479260.0,155631283.54
2023-01-09,000425,5.3,5.41,5.27,5.39,62769093.0,336682017.64
2023-01-10,000425,5.39,5.52,5.37,5.51,96734486.0,529692141.1
2023-01-11,000425,5.51,5.55,5.46,5.5,50911083.0,280271955.11
2023-01-12,000425,5.51,5.52,5.43,5.47,36696253.0,200715747.92
2023-01-13,000425,5.49,5.64,5.45,5.63,78649770.0,436917810.58
2023-01-16,000425,5.64,5.71,5.58,5.69,69752124.0,394756594.07
2023-01-17,000425,5.7,5.75,5.6,5.63,44608148.0,252154903.89
2023-01-18,000425,5.63,5.69,5.57,5.59,32979119.0,185244299.89
2023-01-19,000425,5.58,5.62,5.53,5.58,26917864.0,149798169.84
2023-01-20,000425,5.58,5.67,5.57,5.66,32636932.0,183644749.48
2023-01-30,000425,5.73,5.86,5.7,5.73,69474450.0,401829183.43
2023-01-31,000425,5.71,5.84,5.68,5.82,59376145.0,344381690.08
2023-02-01,000425,5.82,5.92,5.81,5.9,92003278.0,540060163.86
2023-02-02,000425,5.88,5.9,5.74,5.77,65589808.0,379517678.16
2023-02-03,000425,5.74,5.83,5.65,5.8,57556534.0,330370073.14
2023-02-06,000425,5.78,5.82,5.69,5.77,51511358.0,297641738.93
2023-02-07,000425,5.77,5.83,5.72,5.78,36801443.0,212085850.65
2023-02-08,000425,5.77,5.8,5.68,5.68,31207100.0,178525645.0
2023-02-09,000425,5.67,5.76,5.65,5.75,23472412.0,134565183.25
2023-02-10,000425,5.74,5.86,5.72,5.84,40464184.0,235043617.46
2023-02-13,000425,5.84,6.42,5.84,6.35,339351712.0,2136812174.43
2023-02-14,000425,6.24,6.36,6.08,6.31,267227465.0,1657547988.5
2023-02-15,000425,6.32,6.38,6.18,6.21,134352802.0,841731969.18
2023-02-16,000425,6.26,6.26,6.02,6.07,92813413.0,571798260.36
2023-02-17,000425,6.1,6.23,6.08,6.13,103383857.0,637382285.92
2023-02-20,000425,6.18,6.74,6.17,6.74,353275289.0,2350416331.57
2023-02-21,000425,6.9,7.2,6.87,7.12,475474313.0,3343442134.35
2023-02-22,000425,7.18,7.19,6.96,7.09,197612799.0,1394185524.14
2023-02-23,000425,7.12,7.14,6.97,6.99,105815813.0,742104867.81
2023-02-24,000425,7.0,7.13,6.93,7.05,124984976.0,880021527.35
2023-02-27,000425,6.98,7.08,6.9,6.95,163643869.0,1139668625.8
2023-02-28,000425,6.93,7.1,6.89,7.1,133719599.0,940050876.89
2023-03-01,000425,7.1,7.25,7.02,7.19,141149279.0,1013653328.56
2023-03-02,000425,7.18,7.48,7.16,7.42,163292368.0,1203879955.29
2023-03-03,000425,7.36,7.46,7.31,7.36,108978966.0,804269658.18
2023-03-06,000425,7.38,7.5,7.22,7.28,147984286.0,1087369785.73
2023-03-07,000425,7.29,7.32,7.15,7.15,85534580.0,618575679.9
2023-03-08,000425,7.15,7.32,7.12,7.21,86597117.0,626301471.47
2023-03-09,000425,7.21,7.26,7.1,7.13,70335169.0,503411647.35
2023-03-10,000425,7.14,7.16,7.03,7.04,66082620.0,467306182.05
2023-03-13,000425,7.03,7.29,6.99,7.2,96636818.0,694545695.75
2023-03-14,000425,7.2,7.24,6.93,7.02,105490304.0,739782593.43
2023-03-15,000425,7.06,7.12,6.87,6.87,107670257.0,747838940.64
2023-03-16,000425,6.88,7.0,6.86,6.96,87445093.0,608267921.53
2023-03-17,000425,6.99,7.0,6.81,6.84,88687934.0,610777019.54
2023-03-20,000425,6.89,7.04,6.71,6.74,103062016.0,705574850.84
2023-03-21,000425,6.76,6.86,6.7,6.71,63831141.0,430916823.13
2023-03-22,000425,6.7,6.8,6.62,6.68,89287758.0,596954717.16
2023-03-23,000425,6.66,6.72,6.58,6.67,71354819.0,474592147.36
2023-03-24,000425,6.67,6.7,6.45,6.49,122288500.0,798129270.21
2023-03-27,000425,6.53,6.58,6.43,6.53,78163754.0,509355991.24
2023-03-28,000425,6.55,6.73,6.51,6.56,90420680.0,599017485.16
2023-03-29,000425,6.53,6.74,6.53,6.7,92742120.0,618988022.98
2023-03-30,000425,6.81,7.15,6.81,7.08,153049667.0,1075016705.94
2023-03-31,000425,7.0,7.01,6.9,6.93,82466157.0,572616327.73
2023-04-03,000425,6.9,7.04,6.85,6.97,84261203.0,587420241.72
2023-04-04,000425,7.02,7.13,6.94,7.06,66158291.0,465554345.44
2023-04-06,000425,7.06,7.1,6.94,7.07,48451887.0,339891332.04
2023-04-07,000425,7.08,7.08,6.94,6.96,46964374.0,328064430.32
2023-04-10,000425,6.91,7.04,6.83,6.85,69341661.0,479467068.02
2023-04-11,000425,6.84,6.89,6.78,6.86,42122577.0,288187588.41
2023-04-12,000425,6.86,6.87,6.7,6.76,60509911.0,409867306.34
2023-04-13,000425,6.74,6.77,6.61,6.69,58137418.0,387726459.15
2023-04-14,000425,6.69,6.75,6.62,6.72,49631719.0,331885724.91
2023-04-17,000425,6.74,6.97,6.73,6.95,69781269.0,481274741.27
2023-04-18,000425,6.95,7.05,6.91,7.03,61867481.0,432361552.14
2023-04-19,000425,7.01,7.02,6.85,6.93,50787684.0,351404284.65
2023-04-20,000425,6.91,7.02,6.88,6.97,51088549.0,355950400.3
2023-04-21,000425,6.97,7.09,6.82,6.86,74037203.0,516648622.21
2023-04-24,000425,6.83,6.86,6.67,6.7,69603451.0,469985589.66
2023-04-25,000425,6.74,6.8,6.53,6.64,57543366.0,382350096.2
2023-04-26,000425,6.58,6.66,6.54,6.56,39602307.0,260705229.81
2023-04-27,000425,6.52,6.68,6.44,6.67,44064986.0,290017925.53
2023-04-28,000425,6.66,6.88,6.62,6.86,50147404.0,338643324.62
2023-05-04,000425,6.67,6.73,6.21,6.34,174913368.0,1117100969.45
2023-05-05,000425,6.34,6.47,6.33,6.43,67064246.0,429375925.1
2023-05-08,000425,6.45,6.75,6.45,6.5,87513472.0,579005707.84
2023-05-09,000425,6.52,6.53,6.35,6.36,68677172.0,440805012.96
2023-05-10,000425,6.36,6.37,6.17,6.22,68191237.0,424905058.66
2023-05-11,000425,6.24,6.45,6.2,6.4,75213121.0,476678183.55
2023-05-12,000425,6.4,6.42,6.14,6.17,63744248.0,394990146.39
2023-05-15,000425,6.17,6.25,6.04,6.25,57227587.0,350749392.18
2023-05-16,000425,6.21,6.24,6.09,6.11,43039338.0,265476274.33
2023-05-17,000425,6.12,6.29,6.06,6.25,57630575.0,357799429.59
2023-05-18,000425,6.26,6.47,6.25,6.3,69283356.0,440778836.74
2023-05-19,000425,6.29,6.3,6.17,6.2,32551100.0,202234302.0
2023-05-22,000425,6.2,6.35,6.16,6.34,52761376.0,331834237.87
2023-05-23,000425,6.3,6.34,6.19,6.19,36860553.0,230160679.41
2023-05-24,000425,6.18,6.19,6.02,6.03,40754713.0,247436381.74
2023-05-25,000425,6.01,6.04,5.89,5.97,50717652.0,302065406.81
2023-05-26,000425,5.97,6.05,5.88,5.96,34325722.0,203696605.48
2023-05-29,000425,5.96,5.97,5.87,5.9,32150330.0,189996125.31
2023-05-30,000425,5.9,6.04,5.84,5.93,47345278.0,280867688.24
2023-05-31,000425,5.9,5.98,5.89,5.98,34475300.0,204709590.0
2023-06-01,000425,5.97,5.97,5.79,5.9,46379665.0,273385804.74
2023-06-02,000425,5.89,6.18,5.87,6.15,89572972.0,543521837.82
2023-06-05,000425,6.14,6.23,6.04,6.06,41457358.0,253077841.33
2023-06-06,000425,6.03,6.16,6.02,6.02,35112909.0,213424404.18
2023-06-07,000425,6.03,6.09,5.95,5.99,30580152.0,183700186.25
2023-06-08,000425,5.99,6.19,5.93,6.17,56618168.0,344372245.99
2023-06-09,000425,6.19,6.21,6.08,6.15,59858057.0,367820889.81
2023-06-12,000425,6.16,6.47,6.15,6.42,106934617.0,678974421.15
2023-06-13,000425,6.44,6.5,6.36,6.43,62421977.0,402143234.11
2023-06-14,000425,6.33,6.69,6.33,6.66,122640582.0,805411818.74
2023-06-15,000425,6.65,6.71,6.55,6.66,71651840.0,476290099.12
2023-06-16,000425,6.71,6.85,6.65,6.69,71744338.0,482352180.15
2023-06-19,000425,6.75,6.75,6.61,6.64,45123568.0,300798566.45
2023-06-20,000425,6.65,6.69,6.53,6.55,62190101.0,410633965.86
2023-06-21,000425,6.55,6.61,6.48,6.49,44462757.0,290816978.72
2023-06-26,000425,6.48,6.55,6.35,6.36,50946698.0,327166907.36
2023-06-27,000425,6.37,6.53,6.29,6.47,61458026.0,396722863.04
2023-06-28,000425,6.46,6.6,6.45,6.57,47864959.0,313220735.33
2023-06-29,000425,6.57,6.77,6.52,6.68,58470495.0,391318859.62
2023-06-30,000425,6.67,6.81,6.65,6.77,53277923.0,360695158.86
2023-07-03,000425,6.77,6.82,6.66,6.71,43167469.0,289423118.49
2023-07-04,000425,6.69,6.73,6.57,6.6,36395693.0,241187787.8
2023-07-05,000425,6.62,6.74,6.57,6.59,34409656.0,228340732.69
2023-07-06,000425,6.55,6.69,6.55,6.61,29396202.0,194495328.38
2023-07-07,000425,6.58,6.65,6.53,6.57,26462982.0,173967377.74
2023-07-10,000425,6.62,6.66,6.5,6.55,32575253.0,213346076.27
2023-07-11,000425,6.55,6.57,6.47,6.56,24190646.0,157594953.21
2023-07-12,000425,6.56,6.63,6.51,6.53,30520500.0,199984365.0
2023-07-13,000425,6.53,6.77,6.52,6.72,62279620.0,414724042.46
2023-07-14,000425,6.7,7.23,6.69,7.06,148783123.0,1051382295.12
2023-07-17,000425,7.0,7.2,6.97,7.15,63782797.0,450954795.15
2023-07-18,000425,7.11,7.2,7.08,7.1,41983700.0,298739668.88
2023-07-19,000425,7.08,7.09,6.95,6.99,38660712.0,270384027.47
2023-07-20,000425,7.06,7.2,7.01,7.1,88469108.0,630209292.11
2023-07-21,000425,7.11,7.2,7.05,7.16,62843451.0,449715467.25
2023-07-24,000425,7.18,7.21,6.99,7.02,42532575.0,300254639.99
2023-07-25,000425,7.09,7.3,7.08,7.19,76488040.0,551593426.06
2023-07-26,000425,7.16,7.18,7.02,7.06,39551875.0,280187796.25
2023-07-27,000425,7.07,7.13,6.88,6.91,45514623.0,317438031.99
2023-07-28,000425,6.91,7.0,6.81,6.95,61288121.0,423351535.12
2023-07-31,000425,6.96,7.18,6.96,7.07,64210671.0,454975793.46
2023-08-01,000425,7.04,7.08,6.82,6.85,54299564.0,376173524.44
2023-08-02,000425,6.92,7.06,6.85,6.96,56432701.0,394101867.56
2023-08-03,000425,6.9,6.92,6.77,6.88,44048593.0,301464333.94
2023-08-04,000425,6.9,6.97,6.81,6.81,35929725.0,247345135.72
2023-08-07,000425,6.81,6.87,6.74,6.76,40083766.0,271980383.68
2023-08-08,000425,6.77,6.85,6.72,6.75,43660770.0,296165212.54
2023-08-09,000425,6.75,6.83,6.66,6.72,45170228.0,304998066.7
2023-08-10,000425,6.68,6.74,6.59,6.65,41653200.0,276429200.0
2023-08-11,000425,6.66,6.66,6.35,6.44,75165504.0,485820685.43
2023-08-14,000425,6.43,6.44,6.25,6.4,66882800.0,424349370.0
2023-08-15,000425,6.4,6.47,6.31,6.35,55904870.0,357012281.27
2023-08-16,000425,6.35,6.38,6.25,6.31,42467277.0,267538595.81
2023-08-17,000425,6.28,6.45,6.24,6.44,37017303.0,235351029.61
2023-08-18,000425,6.39,6.61,6.26,6.26,47404115.0,303121669.04
2023-08-21,000425,6.25,6.33,6.2,6.22,26618162.0,166696390.77
2023-08-22,000425,6.23,6.3,6.18,6.26,27560870.0,171868414.1
2023-08-23,000425,6.25,6.28,6.14,6.16,27962122.0,173387193.18
2023-08-24,000425,6.15,6.21,6.02,6.08,59335283.0,361112522.61
2023-08-25,000425,6.05,6.18,6.05,6.12,39364691.0,240697646.34
2023-08-28,000425,6.36,6.43,6.16,6.2,54180488.0,338602480.83
2023-08-29,000425,6.22,6.23,5.98,6.02,120672357.0,731480622.64
2023-08-30,000425,6.01,6.04,5.96,5.98,86001256.0,514937539.29
2023-08-31,000425,6.05,6.33,6.03,6.05,158839714.0,977593944.49
2023-09-01,000425,6.07,6.5,6.07,6.41,185813081.0,1186214955.88
2023-09-04,000425,6.56,6.86,6.49,6.79,202837749.0,1362393943.92
2023-09-05,000425,6.72,6.76,6.65,6.75,72521212.0,487059921.94
2023-09-06,000425,6.73,6.76,6.59,6.67,64768114.0,430142907.52
2023-09-07,000425,6.69,6.86,6.66,6.72,93908979.0,635046097.83
2023-09-08,000425,6.68,6.77,6.62,6.75,58890674.0,393431368.53
2023-09-11,000425,6.75,6.78,6.66,6.69,47510585.0,318253418.27
2023-09-12,000425,6.67,6.67,6.56,6.62,50284977.0,332557453.99
2023-09-13,000425,6.62,6.62,6.48,6.54,38586294.0,251838208.86
2023-09-14,000425,6.51,6.59,6.46,6.57,44162300.0,288506732.0
2023-09-15,000425,6.61,6.65,6.41,6.47,52170303.0,339917169.39
2023-09-18,000425,6.47,6.62,6.41,6.55,55409103.0,361335281.22
2023-09-19,000425,6.56,6.71,6.48,6.66,81427538.0,540796967.02
2023-09-20,000425,6.65,6.68,6.51,6.61,58772800.0,387887623.0
2023-09-21,000425,6.6,6.68,6.5,6.55,50241993.0,330206919.73
2023-09-22,000425,6.52,6.59,6.46,6.51,63456214.0,412997711.42
2023-09-25,000425,6.53,6.59,6.47,6.48,52280805.0,340540311.7
2023-09-26,000425,6.47,6.51,6.39,6.48,61192940.0,394164645.12
2023-09-27,000425,6.46,6.49,6.35,6.39,67204378.0,430010276.14
2023-09-28,000425,6.39,6.45,6.33,6.37,37242811.0,237205932.85
2023-10-09,000425,6.36,6.48,6.31,6.4,40514990.0,259147177.5
2023-10-10,000425,6.42,6.43,6.2,6.23,55637800.0,348641839.0
2023-10-11,000425,6.23,6.27,6.15,6.18,53448677.0,331172534.3
2023-10-12,000425,6.22,6.24,6.13,6.18,37378600.0,230774470.68
2023-10-13,000425,6.13,6.15,6.03,6.08,38349221.0,232872953.64
2023-10-16,000425,6.08,6.09,6.02,6.04,27785900.0,167954797.0
2023-10-17,000425,6.08,6.16,6.02,6.14,39268713.0,239626754.27
2023-10-18,000425,6.13,6.13,6.0,6.01,37390400.0,225634169.0
2023-10-19,000425,5.99,6.0,5.88,5.92,50672597.0,300444031.24
2023-10-20,000425,5.9,5.93,5.85,5.86,41242637.0,242622153.7
2023-10-23,000425,5.85,5.85,5.64,5.7,54934100.0,314872312.77
2023-10-24,000425,5.73,5.78,5.6,5.67,62201761.0,351141211.58
2023-10-25,000425,6.0,6.11,5.83,5.89,118687166.0,706626125.6
2023-10-26,000425,5.87,6.0,5.76,5.95,74617738.0,437698885.1
2023-10-27,000425,5.93,6.09,5.89,6.06,57950553.0,349904277.79
2023-10-30,000425,6.06,6.07,5.92,6.04,46731025.0,279548332.25
2023-10-31,000425,6.04,6.04,5.71,5.73,102558235.0,593383162.53
2023-11-01,000425,5.76,5.77,5.58,5.61,71498880.0,401475923.2
2023-11-02,000425,5.63,5.75,5.55,5.58,82241249.0,462690481.88
2023-11-03,000425,5.6,5.76,5.59,5.68,59183345.0,337098811.14
2023-11-06,000425,5.72,5.74,5.64,5.71,44953601.0,255646404.19
2023-11-07,000425,5.7,5.71,5.63,5.67,29764750.0,168606942.5
2023-11-08,000425,5.67,5.84,5.63,5.74,60317492.0,346768811.22
2023-11-09,000425,5.72,5.75,5.65,5.67,41496761.0,236546803.95
2023-11-10,000425,5.65,5.67,5.5,5.6,54325808.0,302253223.37
2023-11-13,000425,5.61,5.69,5.6,5.68,44204765.0,249816301.0
