signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-04-30,2024-05-06,600568,REJECT,1.1,1.61,55.23,0,public_source_watchlist_v1,61.99,45.08,reject,special_situation,financial_asset,2024-04-30,
2024-04-30,2024-05-06,600348,REJECT,7.28,2.89,47.91,1,public_source_watchlist_v1,50.81,43.55,reject,cyclical,core_resource,2024-04-30,
2024-04-30,2024-05-06,002121,REJECT,0.53,0.78,39.14,1,public_source_watchlist_v1,29.55,53.53,reject,compounder,financial_asset,2024-04-30,debt wall coverage fails survival tripwire
2024-04-30,2024-05-06,600221,REJECT,0.05,0.16,33.44,1,public_source_watchlist_v1,26.4,44.0,reject,compounder,unknown,2024-04-30,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600568,REJECT,1.1,1.61,49.95,0,public_source_watchlist_v1,54.74,42.76,reject,special_situation,financial_asset,2024-05-31,
2024-05-31,2024-06-03,600348,REJECT,7.28,2.89,43.31,1,public_source_watchlist_v1,44.56,41.44,reject,cyclical,core_resource,2024-05-31,
2024-05-31,2024-06-03,002121,REJECT,0.53,0.78,39.52,1,public_source_watchlist_v1,29.55,54.48,reject,compounder,financial_asset,2024-05-31,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600221,REJECT,0.05,0.16,33.44,1,public_source_watchlist_v1,26.4,44.0,reject,compounder,unknown,2024-05-31,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600568,READY,1.1,1.61,60.39,0,public_source_watchlist_v1,71.79,43.28,ready,special_situation,financial_asset,2024-06-28,
2024-06-28,2024-07-01,600348,REJECT,7.28,2.89,43.13,1,public_source_watchlist_v1,44.56,40.99,reject,cyclical,core_resource,2024-06-28,
2024-06-28,2024-07-01,002121,REJECT,0.53,0.78,39.1,1,public_source_watchlist_v1,29.55,53.43,reject,compounder,financial_asset,2024-06-28,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600221,REJECT,0.05,0.16,34.27,1,public_source_watchlist_v1,26.4,46.08,reject,compounder,unknown,2024-06-28,debt wall coverage fails survival tripwire
2024-07-31,2024-08-01,600568,REJECT,1.1,1.61,56.59,0,public_source_watchlist_v1,65.99,42.48,reject,special_situation,financial_asset,2024-07-31,
2024-07-31,2024-08-01,600348,HARVEST,7.28,2.89,56.56,1,public_source_watchlist_v1,60.81,50.19,harvest,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,002121,REJECT,0.53,0.78,38.6,1,public_source_watchlist_v1,29.55,52.17,reject,compounder,financial_asset,2024-07-31,debt wall coverage fails survival tripwire
2024-07-31,2024-08-01,600221,REJECT,0.05,0.16,33.75,1,public_source_watchlist_v1,26.4,44.78,reject,compounder,unknown,2024-07-31,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600568,REJECT,1.05,1.53,54.19,0,public_source_watchlist_v1,61.99,42.48,reject,special_situation,financial_asset,2024-08-30,
2024-08-30,2024-09-02,600348,REJECT,7.04,4.32,53.61,1,public_source_watchlist_v1,57.06,48.44,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,002121,REJECT,0.5,0.74,38.36,1,public_source_watchlist_v1,29.11,52.23,reject,compounder,financial_asset,2024-08-30,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600221,REJECT,0.05,0.04,33.55,1,public_source_watchlist_v1,26.4,44.28,reject,compounder,unknown,2024-08-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,600568,REJECT,1.05,1.53,54.51,0,public_source_watchlist_v1,61.99,43.28,reject,special_situation,financial_asset,2024-09-30,
2024-09-30,2024-10-08,600348,REJECT,7.04,4.32,48.48,1,public_source_watchlist_v1,52.06,43.1,reject,cyclical,core_resource,2024-09-30,
2024-09-30,2024-10-08,002121,REJECT,0.5,0.74,40.33,1,public_source_watchlist_v1,29.11,57.16,reject,compounder,financial_asset,2024-09-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,600221,REJECT,0.02,0.04,33.76,1,public_source_watchlist_v1,26.4,44.8,reject,compounder,unknown,2024-09-30,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,600568,REJECT,1.03,1.51,61.07,0,public_source_watchlist_v1,66.39,53.1,reject,special_situation,financial_asset,2024-10-31,
2024-10-31,2024-11-01,600348,REJECT,7.19,6.05,55.7,1,public_source_watchlist_v1,56.31,54.79,reject,cyclical,core_resource,2024-10-31,
2024-10-31,2024-11-01,600221,REJECT,0.08,0.27,42.09,1,public_source_watchlist_v1,38.94,46.82,reject,compounder,unknown,2024-10-31,
2024-10-31,2024-11-01,002121,REJECT,0.44,0.65,40.43,1,public_source_watchlist_v1,29.11,57.42,reject,compounder,financial_asset,2024-10-31,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,600568,REJECT,1.03,1.51,56.72,0,public_source_watchlist_v1,59.14,53.1,reject,special_situation,financial_asset,2024-11-29,
2024-11-29,2024-12-02,600348,REJECT,7.19,6.05,53.77,1,public_source_watchlist_v1,56.31,49.96,reject,cyclical,core_resource,2024-11-29,
2024-11-29,2024-12-02,600221,REJECT,0.08,0.27,41.62,1,public_source_watchlist_v1,38.94,45.65,reject,compounder,unknown,2024-11-29,
2024-11-29,2024-12-02,002121,REJECT,0.44,0.65,41.54,1,public_source_watchlist_v1,29.11,60.18,reject,compounder,financial_asset,2024-11-29,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600568,REJECT,1.03,1.51,60.59,0,public_source_watchlist_v1,66.39,51.9,reject,special_situation,financial_asset,2024-12-31,
2024-12-31,2025-01-02,600348,HARVEST,7.19,6.05,56.28,1,public_source_watchlist_v1,61.31,48.74,harvest,cyclical,core_resource,2024-12-31,
2024-12-31,2025-01-02,002121,REJECT,0.44,0.65,41.57,1,public_source_watchlist_v1,29.11,60.26,reject,compounder,financial_asset,2024-12-31,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600221,REJECT,0.08,0.27,41.38,1,public_source_watchlist_v1,38.94,45.05,reject,compounder,unknown,2024-12-31,
2025-01-27,2025-02-05,600568,REJECT,1.03,1.51,57.15,0,public_source_watchlist_v1,66.39,43.28,reject,special_situation,financial_asset,2025-01-27,
