signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-04-30,2024-05-06,600568,REJECT,1.1,1.61,54.62,0,public_source_watchlist_v1,61.99,43.56,reject,special_situation,financial_asset,2024-04-30,
2024-04-30,2024-05-06,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,600758,REJECT,3.46,0.75,51.31,1,public_source_watchlist_v1,51.5,51.03,reject,compounder,core_resource,2024-04-30,debt wall coverage fails survival tripwire
2024-04-30,2024-05-06,601065,REJECT,5.64,2.62,47.1,1,public_source_watchlist_v1,45.14,50.03,reject,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,603227,REJECT,3.67,1.4,44.19,1,public_source_watchlist_v1,43.39,45.4,reject,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,002226,REJECT,2.85,0.65,42.66,1,public_source_watchlist_v1,41.84,43.88,reject,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,002096,REJECT,4.31,1.09,41.12,1,public_source_watchlist_v1,39.65,43.32,reject,compounder,unknown,2024-04-30,
2024-04-30,2024-05-06,603977,REJECT,3.83,0.76,39.04,1,public_source_watchlist_v1,35.66,44.12,reject,compounder,unknown,2024-04-30,
2024-04-30,2024-05-06,000425,REJECT,3.92,1.76,37.75,1,public_source_watchlist_v1,33.75,43.75,reject,compounder,rigid_shovel,2024-04-30,
2024-04-30,2024-05-06,600221,REJECT,0.05,0.16,31.47,1,public_source_watchlist_v1,26.4,39.08,reject,compounder,unknown,2024-04-30,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,600758,REJECT,3.46,0.75,50.59,1,public_source_watchlist_v1,51.5,49.23,reject,compounder,core_resource,2024-05-31,debt wall coverage fails survival tripwire
2024-05-31,2024-06-03,600568,REJECT,1.1,1.61,49.95,0,public_source_watchlist_v1,54.74,42.76,reject,special_situation,financial_asset,2024-05-31,
2024-05-31,2024-06-03,601065,REJECT,5.64,2.62,46.04,1,public_source_watchlist_v1,45.14,47.39,reject,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,603227,REJECT,3.67,1.4,45.22,1,public_source_watchlist_v1,43.39,47.96,reject,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,002096,REJECT,4.31,1.09,43.13,1,public_source_watchlist_v1,39.65,48.35,reject,compounder,unknown,2024-05-31,
2024-05-31,2024-06-03,002226,REJECT,2.85,0.65,40.86,1,public_source_watchlist_v1,37.24,46.3,reject,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,603977,REJECT,3.83,0.76,40.8,1,public_source_watchlist_v1,35.66,48.5,reject,compounder,unknown,2024-05-31,
2024-05-31,2024-06-03,000425,REJECT,3.92,1.76,36.71,1,public_source_watchlist_v1,33.75,41.15,reject,compounder,rigid_shovel,2024-05-31,
2024-05-31,2024-06-03,600221,REJECT,0.05,0.16,31.47,1,public_source_watchlist_v1,26.4,39.08,reject,compounder,unknown,2024-05-31,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,600568,READY,1.1,1.61,60.39,0,public_source_watchlist_v1,71.79,43.28,ready,special_situation,financial_asset,2024-06-28,
2024-06-28,2024-07-01,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,600758,REJECT,3.46,0.75,52.18,1,public_source_watchlist_v1,54.95,48.03,reject,compounder,core_resource,2024-06-28,debt wall coverage fails survival tripwire
2024-06-28,2024-07-01,601065,REJECT,5.64,2.62,48.47,1,public_source_watchlist_v1,44.54,54.36,reject,cyclical,core_resource,2024-06-28,
2024-06-28,2024-07-01,603227,REJECT,3.67,1.4,44.82,1,public_source_watchlist_v1,43.39,46.97,reject,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,002226,REJECT,2.85,0.65,43.37,1,public_source_watchlist_v1,41.84,45.66,reject,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,002096,REJECT,4.31,1.09,42.24,1,public_source_watchlist_v1,39.65,46.12,reject,compounder,unknown,2024-06-28,
