date,ticker,open,high,low,close,volume,amount
2020-01-02,600019,5.77,5.88,5.77,5.8,160874567,937118973.0
2020-01-03,600019,5.82,5.84,5.77,5.8,81037937,470340122.0
2020-01-06,600019,5.77,5.8,5.72,5.75,105138931,606070577.0
2020-01-07,600019,5.75,5.83,5.74,5.83,97816139,567195755.0
2020-01-08,600019,5.8,5.8,5.73,5.74,88402132,509762181.0
2020-01-09,600019,5.78,5.8,5.75,5.8,59386188,343238531.0
2020-01-10,600019,5.81,5.81,5.71,5.74,68621527,394862521.0
2020-01-13,600019,5.75,5.75,5.67,5.73,66175333,376901453.0
2020-01-14,600019,5.73,5.78,5.71,5.72,72209290,414929589.0
2020-01-15,600019,5.73,5.75,5.65,5.68,67245297,381807938.0
2020-01-16,600019,5.68,5.69,5.62,5.64,57181152,322695168.0
2020-01-17,600019,5.64,5.72,5.63,5.72,70913188,402528798.0
2020-01-20,600019,5.73,5.75,5.68,5.74,65536529,374712640.0
2020-01-21,600019,5.72,5.72,5.58,5.6,75229040,423654012.0
2020-01-22,600019,5.57,5.61,5.53,5.6,49723441,276879920.0
2020-01-23,600019,5.55,5.55,5.4,5.43,72919584,399291999.0
2020-02-03,600019,4.89,5.01,4.89,4.89,169519735,833521621.0
2020-02-04,600019,4.87,5.2,4.83,5.19,198145578,989952998.0
2020-02-05,600019,5.14,5.25,5.1,5.16,106252525,549767006.0
2020-02-06,600019,5.2,5.22,5.13,5.2,66322999,343806520.0
2020-02-07,600019,5.19,5.23,5.11,5.22,52913445,273196726.0
2020-02-10,600019,5.18,5.32,5.17,5.29,59545384,313679513.0
2020-02-11,600019,5.3,5.48,5.3,5.33,73737524,396618521.0
2020-02-12,600019,5.31,5.34,5.27,5.32,40339232,213918698.0
2020-02-13,600019,5.32,5.37,5.25,5.27,48107832,255321763.0
2020-02-14,600019,5.27,5.3,5.24,5.29,35202783,185778824.0
2020-02-17,600019,5.29,5.43,5.28,5.42,60387558,323964315.0
2020-02-18,600019,5.4,5.46,5.37,5.38,51406648,277770908.0
2020-02-19,600019,5.37,5.41,5.34,5.36,47706096,255857317.0
2020-02-20,600019,5.37,5.41,5.32,5.4,60926071,326753865.0
2020-02-21,600019,5.39,5.42,5.36,5.39,50137601,269964747.0
2020-02-24,600019,5.36,5.37,5.32,5.34,76338095,407573735.0
2020-02-25,600019,5.24,5.29,5.2,5.23,78198423,409353625.0
2020-02-26,600019,5.19,5.36,5.17,5.32,90216616,478098082.0
2020-02-27,600019,5.3,5.36,5.28,5.29,50620117,269255654.0
2020-02-28,600019,5.16,5.26,5.16,5.2,69726184,362295494.0
2020-03-02,600019,5.18,5.46,5.18,5.42,121531035,653602523.0
2020-03-03,600019,5.48,5.52,5.38,5.4,96926202,526922970.0
2020-03-04,600019,5.4,5.45,5.37,5.42,63582010,344048034.0
2020-03-05,600019,5.45,5.52,5.41,5.5,99724496,546678077.0
2020-03-06,600019,5.45,5.46,5.38,5.39,70931203,383649129.0
2020-03-09,600019,5.31,5.32,5.22,5.28,84135021,442888284.0
2020-03-10,600019,5.22,5.37,5.22,5.3,62741894,331842669.0
2020-03-11,600019,5.29,5.3,5.24,5.25,56159406,295812674.0
2020-03-12,600019,5.21,5.23,5.16,5.18,56321776,292159630.0
2020-03-13,600019,5.03,5.15,5.0,5.11,70680914,357689557.0
2020-03-16,600019,5.13,5.15,4.96,4.96,81680584,411698427.0
2020-03-17,600019,4.95,5.02,4.86,4.9,89211219,437626751.0
2020-03-18,600019,4.92,4.96,4.86,4.87,54120169,266338871.0
2020-03-19,600019,4.87,4.89,4.69,4.72,85514697,407521165.0
2020-03-20,600019,4.76,4.8,4.71,4.78,44734230,212749000.0
2020-03-23,600019,4.68,4.7,4.58,4.6,78925245,365676669.0
2020-03-24,600019,4.66,4.71,4.63,4.69,51512694,240317685.0
2020-03-25,600019,4.8,4.81,4.73,4.79,47807699,228111999.0
2020-03-26,600019,4.77,4.78,4.72,4.72,32528708,154513696.0
2020-03-27,600019,4.77,4.82,4.74,4.77,33216714,158866376.0
2020-03-30,600019,4.72,4.8,4.71,4.75,35541193,168851243.0
2020-03-31,600019,4.79,4.91,4.76,4.87,65079907,315194695.0
2020-04-01,600019,4.87,4.89,4.78,4.8,36455059,176265368.0
2020-04-02,600019,4.79,4.82,4.73,4.81,36072113,172263268.0
2020-04-03,600019,4.81,4.81,4.77,4.79,19678392,94209560.0
2020-04-07,600019,4.85,4.89,4.82,4.87,41032873,199581739.0
2020-04-08,600019,4.87,4.94,4.85,4.93,39010889,191507157.0
2020-04-09,600019,4.94,4.96,4.9,4.92,21842206,107644761.0
2020-04-10,600019,4.93,4.94,4.83,4.85,23280680,113339326.0
2020-04-13,600019,4.84,4.85,4.82,4.84,16466250,79672588.0
2020-04-14,600019,4.87,4.91,4.85,4.91,31305355,153220769.0
2020-04-15,600019,4.93,4.94,4.88,4.9,21933018,107651315.0
2020-04-16,600019,4.87,4.9,4.85,4.9,20597184,100498146.0
2020-04-17,600019,4.93,4.94,4.87,4.93,36085070,177166658.0
2020-04-20,600019,4.92,4.93,4.88,4.89,28036760,137440432.0
2020-04-21,600019,4.86,4.87,4.81,4.84,26609497,128427156.0
2020-04-22,600019,4.82,4.84,4.79,4.83,30651837,147593234.0
2020-04-23,600019,4.85,4.87,4.81,4.83,27272647,132084459.0
2020-04-24,600019,4.85,4.85,4.8,4.82,22099485,106528234.0
2020-04-27,600019,4.84,4.86,4.82,4.83,21015626,101737752.0
2020-04-28,600019,4.84,4.84,4.69,4.75,33980291,161411634.0
2020-04-29,600019,4.73,4.79,4.71,4.77,22233986,105776537.0
2020-04-30,600019,4.79,4.88,4.78,4.87,27799224,134735691.0
2020-05-06,600019,4.85,4.92,4.83,4.9,39902055,195633481.0
2020-05-07,600019,4.92,4.93,4.82,4.83,41347816,200530136.0
2020-05-08,600019,4.85,4.89,4.84,4.88,29602357,144104450.0
2020-05-11,600019,4.91,4.96,4.9,4.92,50810097,250355761.0
2020-05-12,600019,4.92,4.93,4.85,4.89,40616839,198198271.0
2020-05-13,600019,4.87,4.92,4.83,4.92,31776335,155228676.0
2020-05-14,600019,4.9,4.91,4.82,4.83,30341448,147072143.0
2020-05-15,600019,4.85,4.87,4.78,4.78,29218428,140601128.0
2020-05-18,600019,4.8,4.83,4.76,4.78,23409990,112317628.0
2020-05-19,600019,4.83,4.85,4.81,4.83,26478330,127939734.0
2020-05-20,600019,4.83,4.85,4.79,4.8,27694526,133432009.0
2020-05-21,600019,4.82,4.84,4.77,4.77,35365681,169698069.0
2020-05-22,600019,4.78,4.79,4.72,4.72,33436151,158476213.0
2020-05-25,600019,4.73,4.77,4.72,4.75,21254884,100842929.0
2020-05-26,600019,4.77,4.8,4.75,4.78,29400160,140372492.0
2020-05-27,600019,4.78,4.87,4.76,4.86,42009350,203237941.0
2020-05-28,600019,4.88,4.9,4.86,4.89,39764766,194170199.0
2020-05-29,600019,4.9,4.9,4.83,4.89,54926609,266915040.0
2020-06-01,600019,4.9,4.92,4.85,4.92,66242906,324089001.0
2020-06-02,600019,4.91,4.92,4.87,4.9,55648851,272188671.0
2020-06-03,600019,4.63,4.66,4.6,4.62,75844621,350273091.0
2020-06-04,600019,4.61,4.63,4.59,4.6,35183756,162100050.0
2020-06-05,600019,4.6,4.61,4.55,4.56,43366208,198059319.0
2020-06-08,600019,4.57,4.6,4.55,4.56,56836258,259765373.0
2020-06-09,600019,4.56,4.58,4.56,4.58,42473753,194060348.0
2020-06-10,600019,4.58,4.61,4.56,4.57,64606245,295630754.0
2020-06-11,600019,4.58,4.58,4.51,4.51,70136360,318585503.0
2020-06-12,600019,4.47,4.57,4.45,4.57,69032449,311896881.0
2020-06-15,600019,4.54,4.59,4.5,4.5,60808929,275894435.0
2020-06-16,600019,4.53,4.62,4.51,4.62,88653765,405475763.0
2020-06-17,600019,4.6,4.71,4.59,4.65,90075666,419836230.0
2020-06-18,600019,4.66,4.87,4.62,4.79,147736193,706430115.0
2020-06-19,600019,4.78,4.78,4.7,4.75,84591450,401021934.0
2020-06-22,600019,4.76,4.78,4.7,4.71,49591778,234554656.0
2020-06-23,600019,4.69,4.69,4.61,4.61,58684074,271866878.0
2020-06-24,600019,4.62,4.64,4.59,4.6,32047261,147740141.0
2020-06-29,600019,4.57,4.59,4.55,4.56,37422170,170716867.0
2020-06-30,600019,4.57,4.59,4.55,4.56,35918558,163948616.0
2020-07-01,600019,4.56,4.64,4.55,4.64,44924585,206401662.0
2020-07-02,600019,4.61,4.74,4.61,4.71,75859062,354611115.0
2020-07-03,600019,4.74,4.85,4.73,4.81,118982070,570189013.0
2020-07-06,600019,4.88,5.16,4.86,5.15,202000042,1018978628.0
2020-07-07,600019,5.25,5.37,5.17,5.21,225032671,1185640328.0
2020-07-08,600019,5.19,5.38,5.16,5.32,143971225,760067426.0
2020-07-09,600019,5.32,5.46,5.26,5.43,176062225,942507225.0
2020-07-10,600019,5.37,5.37,5.2,5.25,105659513,559582914.0
2020-07-13,600019,5.24,5.33,5.21,5.29,108990133,574558617.0
2020-07-14,600019,5.29,5.41,5.21,5.25,111588262,591209989.0
2020-07-15,600019,5.28,5.3,5.07,5.12,84960154,439289268.0
2020-07-16,600019,5.13,5.18,4.95,4.96,74921829,379756001.0
2020-07-17,600019,4.97,5.0,4.83,4.89,83718482,410913687.0
2020-07-20,600019,4.89,5.2,4.88,5.18,123193323,627420609.0
2020-07-21,600019,5.18,5.21,5.08,5.13,63062625,323729187.97
2020-07-22,600019,5.16,5.17,5.08,5.11,74867014,383723333.6
2020-07-23,600019,5.06,5.09,4.98,5.05,67693619,341081995.05
2020-07-24,600019,5.03,5.06,4.88,4.91,70955812,351594115.24
2020-07-27,600019,4.93,4.96,4.85,4.89,45842986,224739479.08
2020-07-28,600019,4.91,5.03,4.89,4.91,51725104,255691691.65
2020-07-29,600019,4.91,4.99,4.86,4.97,52837582,261213114.03
2020-07-30,600019,4.97,5.01,4.9,4.92,47937576,237572940.96
2020-07-31,600019,4.93,4.99,4.88,4.92,68519422,337321874.48
2020-08-03,600019,4.95,4.97,4.92,4.97,61193799,302942348.02
2020-08-04,600019,5.0,5.02,4.93,4.99,85176639,423713629.19
2020-08-05,600019,4.99,4.99,4.91,4.92,80652573,397497282.25
