date,ticker,open,high,low,close,volume,amount
2024-01-02,600019,5.93,6.05,5.92,6.01,83846158,503839225.88
2024-01-03,600019,6.0,6.14,5.99,6.14,104082386,634197801.38
2024-01-04,600019,6.14,6.18,6.1,6.15,57185285,350595868.63
2024-01-05,600019,6.16,6.27,6.13,6.18,78923380,490291871.43
2024-01-08,600019,6.18,6.21,6.14,6.15,61597552,379942201.81
2024-01-09,600019,6.15,6.18,6.07,6.14,54444062,333473377.64
2024-01-10,600019,6.12,6.15,6.04,6.04,67091468,408256264.97
2024-01-11,600019,6.06,6.06,5.94,5.96,91556951,547094151.57
2024-01-12,600019,5.94,5.98,5.92,5.92,61601976,366490209.26
2024-01-15,600019,5.94,5.97,5.87,5.89,74928777,442758209.58
2024-01-16,600019,5.89,5.92,5.85,5.9,69554526,409339008.08
2024-01-17,600019,5.9,5.94,5.8,5.8,76908396,451549755.43
2024-01-18,600019,5.8,5.8,5.56,5.74,144008692,816435980.05
2024-01-19,600019,5.72,5.78,5.65,5.77,84995462,488429075.08
2024-01-22,600019,5.76,5.8,5.61,5.65,79507852,455215265.74
2024-01-23,600019,5.65,5.74,5.55,5.67,97454178,548757950.78
2024-01-24,600019,5.7,5.9,5.69,5.89,86389864,500319688.75
2024-01-25,600019,5.9,6.08,5.89,6.08,120436639,724014150.03
2024-01-26,600019,6.07,6.21,6.05,6.21,109667106,674918486.07
2024-01-29,600019,6.23,6.28,6.19,6.2,83971791,523458599.61
2024-01-30,600019,6.19,6.26,6.13,6.16,75549950,468953060.79
2024-01-31,600019,6.15,6.23,6.08,6.15,117025790,721157064.14
2024-02-01,600019,6.12,6.23,6.09,6.12,87744455,540681582.03
2024-02-02,600019,6.14,6.25,6.05,6.17,104485317,645644763.42
2024-02-05,600019,6.19,6.26,6.1,6.22,120368378,745336676.31
2024-02-06,600019,6.21,6.34,6.18,6.32,111221626,697575516.88
2024-02-07,600019,6.34,6.35,6.17,6.29,125984850,788660669.29
2024-02-08,600019,6.25,6.31,6.18,6.31,122688915,765412780.43
2024-02-19,600019,6.31,6.45,6.3,6.44,85018968,544009280.67
2024-02-20,600019,6.44,6.59,6.4,6.56,75589724,493435019.51
2024-02-21,600019,6.57,6.62,6.5,6.55,73297621,480741248.02
2024-02-22,600019,6.55,6.67,6.52,6.66,56804245,375793119.35
2024-02-23,600019,6.66,6.77,6.64,6.66,59883903,401095965.59
2024-02-26,600019,6.67,6.77,6.56,6.58,72212438,478815477.5
2024-02-27,600019,6.57,6.72,6.55,6.65,62545018,415264695.41
2024-02-28,600019,6.65,6.69,6.59,6.6,56785777,376738592.84
2024-02-29,600019,6.58,6.69,6.58,6.67,67402168,446613327.34
2024-03-01,600019,6.66,6.76,6.65,6.68,44815228,300798365.53
2024-03-04,600019,6.67,6.74,6.62,6.64,61677158,410110958.47
2024-03-05,600019,6.64,6.75,6.6,6.73,63702617,424804449.57
2024-03-06,600019,6.73,6.78,6.69,6.7,43110129,290267309.07
2024-03-07,600019,6.68,6.91,6.68,6.84,87864228,600996297.6
2024-03-08,600019,6.87,6.94,6.81,6.86,62402155,428601747.68
2024-03-11,600019,6.85,6.92,6.72,6.8,64901319,441177804.28
2024-03-12,600019,6.78,6.79,6.58,6.61,115395595,764385021.46
2024-03-13,600019,6.61,6.68,6.57,6.6,68034787,450709990.31
2024-03-14,600019,6.62,6.72,6.58,6.61,63580097,421785126.02
2024-03-15,600019,6.57,6.63,6.49,6.57,99462912,652808314.23
2024-03-18,600019,6.6,6.64,6.51,6.63,67842713,447537906.39
2024-03-19,600019,6.62,6.68,6.57,6.59,60269200,398941549.22
2024-03-20,600019,6.57,6.64,6.55,6.58,51376065,338280457.71
2024-03-21,600019,6.57,6.61,6.54,6.54,34941170,229689181.22
2024-03-22,600019,6.54,6.56,6.44,6.48,49553069,321645065.16
2024-03-25,600019,6.44,6.57,6.44,6.49,48772545,317957036.31
2024-03-26,600019,6.5,6.52,6.43,6.49,41645811,269622956.65
2024-03-27,600019,6.49,6.56,6.47,6.51,51991069,338878782.15
2024-03-28,600019,6.5,6.54,6.45,6.47,61272632,397706981.65
2024-03-29,600019,6.47,6.67,6.46,6.64,60620588,400459590.9
2024-04-01,600019,6.66,6.69,6.58,6.63,51512605,340716862.94
2024-04-02,600019,6.63,6.77,6.61,6.69,55414479,370441374.18
2024-04-03,600019,6.71,6.75,6.63,6.67,83876844,559865914.7
2024-04-08,600019,6.68,6.8,6.66,6.71,80510747,542730245.18
2024-04-09,600019,6.71,6.74,6.55,6.64,66256513,438547663.15
2024-04-10,600019,6.62,6.69,6.59,6.64,55037151,365452068.01
2024-04-11,600019,6.61,6.77,6.56,6.69,62924052,420529987.9
2024-04-12,600019,6.71,6.78,6.68,6.74,71355198,481168218.09
2024-04-15,600019,6.75,6.93,6.72,6.9,104550024,716293968.6
2024-04-16,600019,6.9,7.08,6.88,7.0,157610882,1102355720.87
2024-04-17,600019,6.97,7.23,6.92,7.21,127820869,905659303.03
2024-04-18,600019,7.2,7.38,7.18,7.29,106301706,776721803.54
2024-04-19,600019,7.25,7.43,7.22,7.36,93120665,686434877.01
2024-04-22,600019,7.39,7.48,7.21,7.28,86565666,632929650.6
2024-04-23,600019,7.28,7.28,7.01,7.03,87121575,619074064.62
2024-04-24,600019,7.04,7.09,6.99,7.07,48564892,342173501.43
2024-04-25,600019,7.08,7.17,7.04,7.11,53612273,381221042.92
2024-04-26,600019,7.11,7.2,6.98,7.09,82994614,585156211.68
2024-04-29,600019,7.05,7.09,6.86,7.03,113103875,789287987.91
2024-04-30,600019,7.01,7.12,6.95,6.95,79044050,554982782.05
2024-05-06,600019,7.01,7.09,6.94,6.97,89014314,622512483.95
2024-05-07,600019,6.98,6.98,6.82,6.86,88738632,609756408.61
2024-05-08,600019,6.84,6.88,6.78,6.84,61148967,417864185.21
2024-05-09,600019,6.84,6.96,6.84,6.95,67009996,462650928.18
2024-05-10,600019,6.95,7.05,6.93,7.03,68275355,477743806.58
2024-05-13,600019,7.03,7.12,6.94,7.1,76513875,538816652.78
2024-05-14,600019,7.08,7.1,6.95,6.95,70038149,489827118.75
2024-05-15,600019,6.94,6.98,6.87,6.92,53911161,373192884.1
2024-05-16,600019,6.92,7.03,6.9,7.0,78632119,547880903.95
2024-05-17,600019,7.0,7.03,6.89,7.02,64452662,447974791.0
2024-05-20,600019,7.01,7.08,6.93,7.01,99993556,699521482.95
2024-05-21,600019,7.0,7.08,6.95,7.0,87704899,614813129.27
2024-05-22,600019,7.0,7.18,6.99,7.09,103890117,738665118.64
2024-05-23,600019,7.06,7.07,6.95,6.96,77336843,541624484.94
2024-05-24,600019,6.93,7.0,6.9,6.91,47597255,330565949.09
2024-05-27,600019,6.93,7.02,6.91,6.99,56715687,395019093.66
2024-05-28,600019,7.0,7.08,6.95,6.99,61414882,430573504.46
2024-05-29,600019,6.96,7.04,6.91,6.99,48018615,336021828.84
2024-05-30,600019,7.09,7.18,6.96,6.98,117118247,827997622.06
2024-05-31,600019,6.97,7.03,6.9,6.9,73920526,514146272.42
2024-06-03,600019,6.9,6.98,6.85,6.95,80914704,560465036.49
2024-06-04,600019,6.93,7.09,6.89,7.07,89602524,629362371.02
2024-06-05,600019,7.1,7.13,7.03,7.05,53328881,377391609.79
2024-06-06,600019,7.05,7.13,7.0,7.04,72468231,511834290.15
2024-06-07,600019,7.07,7.08,6.94,6.99,77047924,538922751.15
2024-06-11,600019,6.99,6.99,6.84,6.84,83873255,578113627.07
2024-06-12,600019,6.84,6.92,6.78,6.89,72894589,499668497.07
2024-06-13,600019,6.75,6.77,6.64,6.65,63245449,422955093.85
2024-06-14,600019,6.65,6.81,6.63,6.8,83678411,563206756.51
2024-06-17,600019,6.75,6.78,6.47,6.49,139640128,914931358.4
2024-06-18,600019,6.48,6.6,6.47,6.56,63525069,416195548.49
2024-06-19,600019,6.56,6.7,6.55,6.64,50460493,335003427.76
2024-06-20,600019,6.66,6.69,6.62,6.66,32443194,215843470.07
2024-06-21,600019,6.67,6.68,6.57,6.58,40888194,270246571.24
2024-06-24,600019,6.57,6.6,6.52,6.57,48390778,317652361.34
2024-06-25,600019,6.57,6.64,6.53,6.59,40385102,266564114.49
2024-06-26,600019,6.59,6.65,6.53,6.6,40650438,267834271.98
2024-06-27,600019,6.57,6.63,6.55,6.56,41918149,276041185.95
2024-06-28,600019,6.56,6.7,6.55,6.65,53880025,357257167.16
2024-07-01,600019,6.62,6.78,6.61,6.76,51878802,349213825.6
2024-07-02,600019,6.77,7.05,6.76,6.99,84008937,581770111.28
2024-07-03,600019,6.99,7.05,6.94,6.98,48426453,338622926.14
2024-07-04,600019,7.0,7.04,6.98,6.99,47863320,335372500.89
2024-07-05,600019,7.0,7.07,6.9,7.0,59348582,414832055.35
2024-07-08,600019,7.03,7.1,6.99,7.06,65344404,460794419.61
2024-07-09,600019,7.09,7.1,6.99,7.05,54238462,382800028.27
2024-07-10,600019,7.04,7.06,6.89,6.92,53422736,372144173.48
2024-07-11,600019,6.92,6.98,6.88,6.95,46570756,322338913.27
2024-07-12,600019,6.94,6.99,6.9,6.94,39631976,275402939.8
2024-07-15,600019,6.93,7.03,6.92,7.0,43558327,304626816.15
2024-07-16,600019,6.97,7.03,6.95,7.01,36059971,252243869.05
2024-07-17,600019,7.0,7.05,6.98,7.03,45015811,315907083.6
2024-07-18,600019,7.0,7.11,6.94,7.09,61743002,435342794.04
2024-07-19,600019,7.09,7.12,7.01,7.07,64674131,457413623.76
2024-07-22,600019,7.09,7.13,7.03,7.11,53795796,380796129.21
2024-07-23,600019,7.08,7.1,6.92,6.93,55597708,389133212.26
2024-07-24,600019,6.91,6.99,6.89,6.96,51525617,357990599.19
2024-07-25,600019,6.97,7.0,6.84,6.91,54922277,379320888.58
2024-07-26,600019,6.91,6.97,6.8,6.84,58839272,403854237.94
2024-07-29,600019,6.85,6.99,6.83,6.96,49848533,346291050.94
2024-07-30,600019,6.98,6.99,6.88,6.93,43367588,300657706.93
2024-07-31,600019,6.95,6.98,6.79,6.8,119344344,815760433.68
2024-08-01,600019,6.8,6.87,6.77,6.82,87445473,597075036.96
2024-08-02,600019,6.79,6.81,6.71,6.72,56534013,381578562.18
2024-08-05,600019,6.71,6.71,6.51,6.52,95195306,626510004.95
2024-08-06,600019,6.52,6.64,6.38,6.45,89195154,575631304.7
2024-08-07,600019,6.45,6.46,6.4,6.42,62191931,399664236.86
2024-08-08,600019,6.42,6.42,6.32,6.38,61319241,389982207.99
2024-08-09,600019,6.38,6.42,6.35,6.35,49714823,317318547.86
2024-08-12,600019,6.35,6.36,6.24,6.27,55947929,351178708.96
2024-08-13,600019,6.29,6.3,6.22,6.3,53738165,336296471.06
2024-08-14,600019,6.29,6.29,6.12,6.13,69019935,426123005.18
2024-08-15,600019,6.1,6.16,6.03,6.14,62587608,382778839.83
2024-08-16,600019,6.14,6.17,6.07,6.1,58171682,355645499.88
2024-08-19,600019,6.09,6.16,6.08,6.1,57980422,354737011.29
2024-08-20,600019,6.12,6.13,6.0,6.01,65373020,395697359.05
2024-08-21,600019,6.01,6.07,5.97,6.04,71117813,428046068.73
2024-08-22,600019,6.04,6.06,5.93,5.97,63085676,377856986.08
2024-08-23,600019,5.96,6.0,5.94,5.98,37673391,225056006.97
