signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-04-30,2024-05-06,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,600328,REJECT,7.04,0.53,53.67,1,public_source_watchlist_v1,58.35,46.66,reject,compounder,core_resource,2024-04-30,
2024-04-30,2024-05-06,600348,REJECT,7.28,2.89,50.33,1,public_source_watchlist_v1,55.51,42.55,reject,compounder,core_resource,2024-04-30,
2024-05-31,2024-06-03,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,600328,REJECT,7.04,0.53,52.72,1,public_source_watchlist_v1,58.35,44.27,reject,compounder,core_resource,2024-05-31,
2024-05-31,2024-06-03,600348,REJECT,7.28,2.89,45.28,1,public_source_watchlist_v1,49.76,38.55,reject,compounder,core_resource,2024-05-31,
2024-06-28,2024-07-01,600328,HARVEST,7.04,0.53,56.21,1,public_source_watchlist_v1,62.95,46.11,harvest,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,600019,HARVEST,7.75,1.04,53.68,1,public_source_watchlist_v1,62.96,39.75,harvest,compounder,core_resource,2024-06-28,
2024-06-28,2024-07-01,600348,REJECT,7.28,2.89,46.3,1,public_source_watchlist_v1,49.76,41.12,reject,compounder,core_resource,2024-06-28,
2024-07-31,2024-08-01,600348,HARVEST,7.28,2.89,54.67,1,public_source_watchlist_v1,60.81,45.45,harvest,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,600019,HARVEST,7.75,1.04,53.2,1,public_source_watchlist_v1,62.96,38.55,harvest,compounder,core_resource,2024-07-31,
2024-07-31,2024-08-01,600328,REJECT,6.81,0.53,50.91,1,public_source_watchlist_v1,56.15,43.06,reject,compounder,core_resource,2024-07-31,
2024-08-30,2024-09-02,600019,HARVEST,7.69,2.47,54.49,1,public_source_watchlist_v1,62.45,42.55,harvest,compounder,core_resource,2024-08-30,
2024-08-30,2024-09-02,600328,REJECT,6.81,3.59,53.14,1,public_source_watchlist_v1,58.35,45.33,reject,compounder,core_resource,2024-08-30,
