Debt_Tripwire,Weight_Logic,Min_Realization,Debt_Kills,Avg_Tripwire_Threshold,Avg_Underwrite,Avg_Realization,ATTACK_Signals,Tradable_ATTACK_Signals,Unique_ATTACK_Tickers
0.8,dynamic_by_sleeve,60.0,10,0.7551,49.3586,49.6444,14,14,2
0.5,dynamic_by_sleeve,60.0,10,0.4821,49.3586,49.6444,14,14,2
0.3,dynamic_by_sleeve,60.0,10,0.3,49.3586,49.6444,14,14,2
0.8,dynamic_by_sleeve,65.0,10,0.7551,49.3586,49.6444,6,6,2
0.5,dynamic_by_sleeve,65.0,10,0.4821,49.3586,49.6444,6,6,2
0.3,dynamic_by_sleeve,65.0,10,0.3,49.3586,49.6444,6,6,2
0.8,dynamic_by_sleeve,70.0,10,0.7551,49.3586,49.6444,2,2,1
0.5,dynamic_by_sleeve,70.0,10,0.4821,49.3586,49.6444,2,2,1
0.3,dynamic_by_sleeve,70.0,10,0.3,49.3586,49.6444,2,2,1
0.8,static_equal,60.0,10,0.7551,49.3586,44.7488,0,0,0
0.8,static_equal,65.0,10,0.7551,49.3586,44.7488,0,0,0
0.8,static_equal,70.0,10,0.7551,49.3586,44.7488,0,0,0
0.5,static_equal,60.0,10,0.4821,49.3586,44.7488,0,0,0
0.5,static_equal,65.0,10,0.4821,49.3586,44.7488,0,0,0
0.5,static_equal,70.0,10,0.4821,49.3586,44.7488,0,0,0
0.3,static_equal,60.0,10,0.3,49.3586,44.7488,0,0,0
0.3,static_equal,65.0,10,0.3,49.3586,44.7488,0,0,0
0.3,static_equal,70.0,10,0.3,49.3586,44.7488,0,0,0
0.8,drop_50s_redistribute,60.0,10,0.7551,49.3586,44.6454,0,0,0
0.8,drop_50s_redistribute,65.0,10,0.7551,49.3586,44.6454,0,0,0
0.8,drop_50s_redistribute,70.0,10,0.7551,49.3586,44.6454,0,0,0
0.5,drop_50s_redistribute,60.0,10,0.4821,49.3586,44.6454,0,0,0
0.5,drop_50s_redistribute,65.0,10,0.4821,49.3586,44.6454,0,0,0
0.5,drop_50s_redistribute,70.0,10,0.4821,49.3586,44.6454,0,0,0
0.3,drop_50s_redistribute,60.0,10,0.3,49.3586,44.6454,0,0,0
0.3,drop_50s_redistribute,65.0,10,0.3,49.3586,44.6454,0,0,0
0.3,drop_50s_redistribute,70.0,10,0.3,49.3586,44.6454,0,0,0
