Debt_Tripwire,Weight_Logic,Min_Realization,Debt_Kills,Avg_Tripwire_Threshold,Avg_Underwrite,Avg_Realization,ATTACK_Signals,Tradable_ATTACK_Signals,Unique_ATTACK_Tickers
0.8,dynamic_by_sleeve,60.0,222,0.7392,48.0364,52.5854,64,64,7
0.5,dynamic_by_sleeve,60.0,146,0.4757,48.1232,52.5854,64,64,7
0.3,dynamic_by_sleeve,60.0,89,0.3,48.1665,52.5854,64,64,7
0.8,dynamic_by_sleeve,65.0,222,0.7392,48.0364,52.5854,21,21,6
0.5,dynamic_by_sleeve,65.0,146,0.4757,48.1232,52.5854,21,21,6
0.3,dynamic_by_sleeve,65.0,89,0.3,48.1665,52.5854,21,21,6
0.8,drop_50s_redistribute,60.0,222,0.7392,48.0364,50.2862,21,21,4
0.5,drop_50s_redistribute,60.0,146,0.4757,48.1232,50.2862,21,21,4
0.3,drop_50s_redistribute,60.0,89,0.3,48.1665,50.2862,21,21,4
0.8,static_equal,60.0,222,0.7392,48.0364,50.1527,18,18,3
0.5,static_equal,60.0,146,0.4757,48.1232,50.1527,18,18,3
0.3,static_equal,60.0,89,0.3,48.1665,50.1527,18,18,3
0.8,dynamic_by_sleeve,70.0,222,0.7392,48.0364,52.5854,7,7,4
0.5,dynamic_by_sleeve,70.0,146,0.4757,48.1232,52.5854,7,7,4
0.3,dynamic_by_sleeve,70.0,89,0.3,48.1665,52.5854,7,7,4
0.8,static_equal,65.0,222,0.7392,48.0364,50.1527,7,7,3
0.5,static_equal,65.0,146,0.4757,48.1232,50.1527,7,7,3
0.3,static_equal,65.0,89,0.3,48.1665,50.1527,7,7,3
0.8,drop_50s_redistribute,65.0,222,0.7392,48.0364,50.2862,6,6,3
0.5,drop_50s_redistribute,65.0,146,0.4757,48.1232,50.2862,6,6,3
0.3,drop_50s_redistribute,65.0,89,0.3,48.1665,50.2862,6,6,3
0.8,drop_50s_redistribute,70.0,222,0.7392,48.0364,50.2862,2,2,2
0.5,drop_50s_redistribute,70.0,146,0.4757,48.1232,50.2862,2,2,2
0.3,drop_50s_redistribute,70.0,89,0.3,48.1665,50.2862,2,2,2
0.8,static_equal,70.0,222,0.7392,48.0364,50.1527,1,1,1
0.5,static_equal,70.0,146,0.4757,48.1232,50.1527,1,1,1
0.3,static_equal,70.0,89,0.3,48.1665,50.1527,1,1,1
