signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2019-03-29,2019-04-01,600328,REJECT,3.03,4.75,42.76,1,tushare_pit_v1,38.78,48.73,reject,compounder,core_resource,2019-03-29,debt wall coverage fails survival tripwire
2019-03-29,2019-04-01,600893,REJECT,8.6,9.23,36.97,1,tushare_pit_v1,34.08,41.31,reject,compounder,core_military,2019-03-29,debt wall coverage fails survival tripwire
2019-04-30,2019-05-06,600348,HARVEST,3.66,1.15,57.24,1,tushare_pit_v1,65.24,45.24,harvest,compounder,core_resource,2019-04-30,
2019-04-30,2019-05-06,600328,REJECT,3.14,1.34,43.68,1,tushare_pit_v1,38.78,51.03,reject,compounder,core_resource,2019-04-30,debt wall coverage fails survival tripwire
2019-04-30,2019-05-06,600893,REJECT,8.62,1.34,37.67,1,tushare_pit_v1,34.08,43.05,reject,compounder,core_military,2019-04-30,debt wall coverage fails survival tripwire
2019-05-31,2019-06-03,600348,HARVEST,3.66,1.15,57.41,1,tushare_pit_v1,65.24,45.67,harvest,compounder,core_resource,2019-05-31,
2019-05-31,2019-06-03,600328,REJECT,3.14,1.34,42.6,1,tushare_pit_v1,38.78,48.33,reject,compounder,core_resource,2019-05-31,debt wall coverage fails survival tripwire
2019-05-31,2019-06-03,600893,REJECT,8.67,1.34,36.72,1,tushare_pit_v1,34.08,40.68,reject,compounder,core_military,2019-05-31,debt wall coverage fails survival tripwire
2019-06-28,2019-07-01,600348,HARVEST,3.66,1.15,57.39,1,tushare_pit_v1,65.24,45.62,harvest,compounder,core_resource,2019-06-28,
2019-06-28,2019-07-01,600328,REJECT,3.21,1.37,42.48,1,tushare_pit_v1,38.78,48.03,reject,compounder,core_resource,2019-06-28,debt wall coverage fails survival tripwire
2019-06-28,2019-07-01,600893,REJECT,8.67,1.34,36.72,1,tushare_pit_v1,34.08,40.68,reject,compounder,core_military,2019-06-28,debt wall coverage fails survival tripwire
2019-07-31,2019-08-01,600348,HARVEST,3.84,1.21,57.47,1,tushare_pit_v1,65.24,45.82,harvest,compounder,core_resource,2019-07-31,
2019-07-31,2019-08-01,600328,REJECT,3.21,1.37,42.6,1,tushare_pit_v1,38.78,48.33,reject,compounder,core_resource,2019-07-31,debt wall coverage fails survival tripwire
2019-07-31,2019-08-01,600893,REJECT,8.67,1.34,37.2,1,tushare_pit_v1,34.08,41.88,reject,compounder,core_military,2019-07-31,debt wall coverage fails survival tripwire
2019-08-30,2019-09-02,600348,REJECT,3.85,2.51,53.5,1,tushare_pit_v1,58.86,45.46,reject,compounder,core_resource,2019-08-30,debt wall coverage fails survival tripwire
2019-08-30,2019-09-02,600328,REJECT,3.26,3.1,45.04,1,tushare_pit_v1,43.38,47.53,reject,compounder,core_resource,2019-08-30,debt wall coverage fails survival tripwire
2019-08-30,2019-09-02,600893,REJECT,8.68,2.82,36.52,1,tushare_pit_v1,34.08,40.18,reject,compounder,core_military,2019-08-30,debt wall coverage fails survival tripwire
2019-09-30,2019-10-08,600348,REJECT,3.85,2.51,54.0,1,tushare_pit_v1,58.86,46.72,reject,compounder,core_resource,2019-09-30,debt wall coverage fails survival tripwire
2019-09-30,2019-10-08,600328,REJECT,3.26,3.1,45.64,1,tushare_pit_v1,43.38,49.03,reject,compounder,core_resource,2019-09-30,debt wall coverage fails survival tripwire
2019-09-30,2019-10-08,600893,REJECT,8.68,2.82,37.6,1,tushare_pit_v1,34.08,42.88,reject,compounder,core_military,2019-09-30,debt wall coverage fails survival tripwire
2019-10-31,2019-11-01,600348,READY,3.95,3.95,65.18,1,tushare_pit_v1,77.7,46.41,ready,compounder,core_resource,2019-10-31,
2019-10-31,2019-11-01,600328,REJECT,3.37,5.31,45.04,1,tushare_pit_v1,43.38,47.53,reject,compounder,core_resource,2019-10-31,debt wall coverage fails survival tripwire
2019-10-31,2019-11-01,600893,REJECT,9.31,4.09,36.52,1,tushare_pit_v1,34.08,40.18,reject,compounder,core_military,2019-10-31,debt wall coverage fails survival tripwire
2019-11-29,2019-12-02,600348,READY,3.95,3.95,65.3,1,tushare_pit_v1,77.7,46.69,ready,compounder,core_resource,2019-11-29,
2019-11-29,2019-12-02,600328,REJECT,3.37,5.31,45.04,1,tushare_pit_v1,43.38,47.53,reject,compounder,core_resource,2019-11-29,debt wall coverage fails survival tripwire
2019-11-29,2019-12-02,600893,REJECT,9.31,4.09,37.37,1,tushare_pit_v1,34.08,42.3,reject,compounder,core_military,2019-11-29,debt wall coverage fails survival tripwire
2019-12-31,2020-01-02,600348,READY,3.95,3.95,65.82,1,tushare_pit_v1,77.7,47.99,ready,compounder,core_resource,2019-12-31,
2019-12-31,2020-01-02,600328,REJECT,3.37,5.31,45.52,1,tushare_pit_v1,43.38,48.73,reject,compounder,core_resource,2019-12-31,debt wall coverage fails survival tripwire
2019-12-31,2020-01-02,600893,REJECT,9.31,4.09,37.0,1,tushare_pit_v1,34.08,41.38,reject,compounder,core_military,2019-12-31,debt wall coverage fails survival tripwire
2020-01-23,2020-02-03,600348,READY,3.95,3.95,65.92,1,tushare_pit_v1,77.7,48.26,ready,compounder,core_resource,2020-01-23,
2020-01-23,2020-02-03,600328,REJECT,1.76,2.78,43.48,1,tushare_pit_v1,38.78,50.53,reject,compounder,core_resource,2020-01-23,debt wall coverage fails survival tripwire
2020-01-23,2020-02-03,600893,REJECT,9.31,4.09,37.6,1,tushare_pit_v1,34.08,42.88,reject,compounder,core_military,2020-01-23,debt wall coverage fails survival tripwire
2020-02-28,2020-03-02,600348,READY,3.95,3.95,68.39,1,tushare_pit_v1,78.21,53.65,ready,cyclical,core_resource,2020-02-28,
2020-02-28,2020-03-02,600328,REJECT,1.76,2.78,44.12,1,tushare_pit_v1,38.78,52.13,reject,compounder,core_resource,2020-02-28,debt wall coverage fails survival tripwire
2020-02-28,2020-03-02,600893,REJECT,9.31,4.09,38.33,1,tushare_pit_v1,34.08,44.71,reject,compounder,core_military,2020-02-28,debt wall coverage fails survival tripwire
2020-03-31,2020-04-01,600348,READY,3.95,3.95,67.97,1,tushare_pit_v1,78.21,52.61,ready,cyclical,core_resource,2020-03-31,
2020-03-31,2020-04-01,600328,REJECT,1.76,2.78,42.88,1,tushare_pit_v1,38.78,49.03,reject,compounder,core_resource,2020-03-31,debt wall coverage fails survival tripwire
2020-03-31,2020-04-01,600893,REJECT,9.31,4.09,37.69,1,tushare_pit_v1,34.08,43.11,reject,compounder,core_military,2020-03-31,debt wall coverage fails survival tripwire
2020-04-30,2020-05-06,600348,REJECT,4.05,4.54,61.93,1,tushare_pit_v1,65.21,57.0,reject,cyclical,core_resource,2020-04-30,
2020-04-30,2020-05-06,600328,REJECT,3.21,6.66,45.84,1,tushare_pit_v1,43.38,49.53,reject,compounder,core_resource,2020-04-30,debt wall coverage fails survival tripwire
2020-04-30,2020-05-06,600893,REJECT,9.42,9.77,42.94,1,tushare_pit_v1,45.52,39.08,reject,compounder,core_military,2020-04-30,
2020-05-29,2020-06-01,600348,REJECT,4.05,4.54,62.6,1,tushare_pit_v1,65.21,58.68,reject,cyclical,core_resource,2020-05-29,
2020-05-29,2020-06-01,600328,REJECT,3.21,6.66,45.24,1,tushare_pit_v1,43.38,48.03,reject,compounder,core_resource,2020-05-29,debt wall coverage fails survival tripwire
2020-05-29,2020-06-01,600893,REJECT,9.42,9.77,43.58,1,tushare_pit_v1,45.52,40.68,reject,compounder,core_military,2020-05-29,
2020-06-30,2020-07-01,600348,REJECT,4.31,4.84,62.75,1,tushare_pit_v1,65.21,59.07,reject,cyclical,core_resource,2020-06-30,
2020-06-30,2020-07-01,600328,REJECT,3.26,6.76,45.24,1,tushare_pit_v1,43.38,48.03,reject,compounder,core_resource,2020-06-30,debt wall coverage fails survival tripwire
2020-06-30,2020-07-01,600893,REJECT,9.42,9.77,43.58,1,tushare_pit_v1,45.52,40.68,reject,compounder,core_military,2020-06-30,
2020-07-31,2020-08-03,600348,REJECT,4.31,4.84,61.48,1,tushare_pit_v1,69.2,49.9,reject,compounder,core_resource,2020-07-31,
2020-07-31,2020-08-03,600893,REJECT,9.46,9.81,44.65,1,tushare_pit_v1,45.52,43.34,reject,compounder,core_military,2020-07-31,
2020-07-31,2020-08-03,600328,REJECT,3.26,6.76,44.08,1,tushare_pit_v1,38.78,52.03,reject,compounder,core_resource,2020-07-31,debt wall coverage fails survival tripwire
