date,ticker,open,high,low,close,volume,amount
2024-01-02,600328,7.85,7.89,7.79,7.85,7822591.0,61457207.0
2024-01-03,600328,7.83,7.95,7.82,7.91,8759724.0,69147070.0
2024-01-04,600328,7.91,7.97,7.83,7.88,7502389.999999999,59181865.0
2024-01-05,600328,7.89,7.91,7.76,7.78,10900840.0,85483687.0
2024-01-08,600328,7.77,7.77,7.57,7.57,9970904.0,76364093.0
2024-01-09,600328,7.59,7.64,7.51,7.54,8430300.0,63755373.0
2024-01-10,600328,7.56,7.56,7.4,7.43,8578472.0,64012247.0
2024-01-11,600328,7.42,7.55,7.39,7.5,8474804.0,63258249.0
2024-01-12,600328,7.49,7.61,7.47,7.5,7808521.000000001,58894375.0
2024-01-15,600328,7.5,7.54,7.42,7.49,6074510.0,45424401.0
2024-01-16,600328,7.47,7.51,7.35,7.42,8690193.0,64442187.0
2024-01-17,600328,7.41,7.42,7.25,7.25,7078730.0,51942175.0
2024-01-18,600328,7.21,7.24,6.96,7.16,14233385.999999998,100634508.0
2024-01-19,600328,7.12,7.22,7.1,7.11,6199468.0,44368415.0
2024-01-22,600328,7.06,7.09,6.69,6.76,10102046.0,69836569.0
2024-01-23,600328,6.75,6.92,6.62,6.88,8880459.0,60535040.0
2024-01-24,600328,6.88,7.05,6.76,7.05,9625288.0,66528570.00000001
2024-01-25,600328,7.09,7.5,7.06,7.45,22135010.0,162102191.0
2024-01-26,600328,7.47,7.76,7.43,7.53,18712372.0,141774463.0
2024-01-29,600328,7.56,7.83,7.56,7.65,26582192.0,204266860.0
2024-01-30,600328,7.63,7.63,7.31,7.33,17057659.0,127416088.0
2024-01-31,600328,7.27,7.45,7.23,7.25,12484687.0,91482673.0
2024-02-01,600328,7.2,7.3,7.05,7.07,12372900.0,88393066.0
2024-02-02,600328,7.08,7.14,6.69,6.86,15493620.000000002,107572653.0
2024-02-05,600328,6.83,6.9,6.42,6.69,18181307.0,120994674.0
2024-02-06,600328,6.64,7.25,6.58,7.18,19063899.0,133078611.0
2024-02-07,600328,7.18,7.61,7.13,7.52,24264133.0,181160679.0
2024-02-08,600328,7.59,7.77,7.48,7.52,25675289.0,196427500.0
2024-02-19,600328,7.58,7.61,7.43,7.5,17708629.0,132946613.00000001
2024-02-20,600328,7.48,7.54,7.39,7.51,11568204.0,86626007.0
2024-02-21,600328,7.48,7.7,7.45,7.53,16057964.000000002,121912180.0
2024-02-22,600328,7.51,7.59,7.48,7.55,13168456.0,99146532.0
2024-02-23,600328,7.56,7.6,7.52,7.59,13668220.000000002,103355451.0
2024-02-26,600328,7.56,7.77,7.53,7.67,18387503.0,140676176.0
2024-02-27,600328,7.64,7.74,7.61,7.73,14141190.0,108694202.0
2024-02-28,600328,7.74,7.96,7.63,7.63,29007115.999999996,226353014.0
2024-02-29,600328,7.63,7.77,7.59,7.77,14869688.0,114400688.0
2024-03-01,600328,7.76,7.85,7.72,7.8,12123514.0,94192218.0
2024-03-04,600328,7.79,7.81,7.65,7.7,12332652.0,94995452.0
2024-03-05,600328,7.68,7.69,7.55,7.57,12004412.0,91237334.0
2024-03-06,600328,7.56,7.75,7.51,7.64,12253052.0,93423908.0
2024-03-07,600328,7.65,7.8,7.64,7.67,13277359.0,102530905.0
2024-03-08,600328,7.67,7.75,7.6,7.71,9466912.0,72541944.0
2024-03-11,600328,7.67,7.8,7.67,7.8,12473118.0,96698823.0
2024-03-12,600328,7.8,7.83,7.69,7.74,12507778.0,96823680.0
2024-03-13,600328,7.74,7.75,7.64,7.68,10584143.0,81270389.0
2024-03-14,600328,7.69,7.78,7.61,7.67,12861070.0,99135056.0
2024-03-15,600328,7.62,7.78,7.58,7.78,15331304.999999998,118001762.0
2024-03-18,600328,7.8,7.81,7.72,7.81,13939744.0,108272967.0
2024-03-19,600328,7.78,7.83,7.75,7.79,11483913.0,89433059.0
2024-03-20,600328,7.78,8.0,7.73,7.95,24331616.0,191909130.0
2024-03-21,600328,7.92,7.96,7.82,7.89,15669915.0,123505171.0
2024-03-22,600328,7.89,7.89,7.73,7.74,11744220.0,91359865.0
2024-03-25,600328,7.71,7.75,7.51,7.52,13848279.0,105892161.0
2024-03-26,600328,7.51,7.58,7.43,7.54,10937699.0,82216213.0
2024-03-27,600328,7.53,7.58,7.42,7.42,8919861.0,67063693.0
2024-03-28,600328,7.41,7.53,7.39,7.43,10800892.0,80407026.0
2024-03-29,600328,7.41,7.55,7.41,7.53,8787812.0,65823705.0
