signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components
2019-01-31,2019-02-01,920021,REJECT,,,45.79,0,tushare_pit_v1,49.42,40.34,reject,compounder,rigid_shovel,latent,2019-01-31,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,33.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-02-28,2019-03-01,920021,REJECT,,,45.79,0,tushare_pit_v1,49.42,40.34,reject,compounder,rigid_shovel,latent,2019-02-28,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,33.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,000001,REJECT,10.64,15.6,56.0,1,tushare_pit_v1,66.67,39.99,reject,compounder,financial_asset,ignition,2019-03-29,,65.0,10.637035867836321,0.9814338227374407,stressed_nav,65.0,2.0,2.0,0.0,,3.813165174434387,0.3671533757643829,True,False,0.8,False,False,100.0,56.14,50.0,13.000821616244394,1.1995302277902056,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600284,REJECT,4.51,6.61,54.08,1,tushare_pit_v1,59.0,46.71,reject,compounder,financial_asset,ignition,2019-03-29,,20.0,4.5074587639161505,0.6900271076128521,stressed_nav,80.0,42.271697577,42.271697577,-0.4628859652,0.17471214715515046,6.269635922994009,22.38644140151893,True,False,0.8,True,False,100.0,81.34,30.0,5.509116267008628,0.8433664648601525,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,31.2,50.0,True,55.25,ignition,87.54,89.45634112,89.45634112,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,920021,REJECT,,,48.01,0,tushare_pit_v1,49.42,45.89,reject,compounder,rigid_shovel,latent,2019-03-29,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,43.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,000795,REJECT,1.52,1.26,45.14,1,tushare_pit_v1,47.01,42.34,reject,compounder,rigid_shovel,ignition,2019-03-29,,0.0,1.6101619322612175,0.32457480223863927,stressed_book,87.0,5.051815190202667,5.051815190202667,0.5785208355816135,0.0998184233784204,6.664599817824572,9.916481143987225,True,False,0.8,True,False,100.0,49.37,0.0,0.9718734035140927,0.1959092507569015,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,31.2,50.0,True,51.25,ignition,94.25,100.0,100.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601788,REJECT,7.14,0.21,41.33,1,tushare_pit_v1,43.91,37.45,reject,compounder,unknown,latent,2019-03-29,,0.0,7.138987726904541,0.5834452392135929,conservative_book,80.0,22.95244883920951,22.95244883920951,-4.2957317258812875,0.4548072844412715,6.984711405779285,-0.5756854485625597,True,False,0.8,False,False,100.0,41.54,0.0,0.16668323884072717,0.013622455434657576,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-18,2019-04-19,920021,REJECT,,,47.67,0,tushare_pit_v1,44.27,52.76,reject,cyclical,rigid_shovel,ignition,2019-04-18,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.3,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.2,0.25,0.1,0.2,0.25,20.0,none,65.0,50.0,True,52.0,ignition,15.0,60.0,60.0,False,50.0,True,0.0,0.485714,0.0,0.364286,0.15,0.0,marginal_buyer_probability; catalyst_quality
2019-04-26,2019-04-29,000566,REJECT,2.93,1.07,38.02,1,tushare_pit_v1,39.51,35.78,reject,compounder,core_resource,latent,2019-04-26,,0.0,2.9320147935566703,0.36108556570894956,stressed_book,44.0,0.948977074792842,0.948977074792842,-0.17988258524104378,-0.01396645405452794,4.689548331830984,1.2977471420503977,True,False,0.8,False,False,100.0,59.13,0.0,0.8054936642551485,0.09919872712501829,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,43.25,latent,80.02,80.910434948,80.910434948,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,600658,READY,4.89,7.17,60.06,1,tushare_pit_v1,71.54,42.84,ready,compounder,financial_asset,latent,2019-04-30,,65.0,4.891526538771072,0.8923530484116352,stressed_nav,80.0,4.625129510360722,4.625129510360722,-3.6564866377820313,0.1382606362101986,5.997864570052306,0.5104371216233483,True,False,0.8,False,False,100.0,66.61,50.0,5.978532436275755,1.090653725836443,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,49.2,50.0,True,33.25,latent,90.35,93.064472116,93.064472116,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,000001,REJECT,11.12,16.31,55.91,1,tushare_pit_v1,69.97,34.81,reject,compounder,financial_asset,latent,2019-04-30,,65.0,11.119872799771615,0.9496825722829833,stressed_nav,80.0,2.0,2.0,1.5,,3.8005595182115357,0.44167770822862884,True,False,0.8,False,False,100.0,56.14,50.0,13.590955644165307,1.160723143901424,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,21.2,50.0,True,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,600284,REJECT,4.66,6.84,55.08,1,tushare_pit_v1,64.75,40.57,reject,compounder,financial_asset,latent,2019-04-30,,45.0,4.663174056830109,0.752502975171366,stressed_nav,80.0,108.8246556292,108.8246556292,-4.8165438672,0.4741130571399966,8.105984605073969,,True,False,0.8,False,False,100.0,81.34,30.0,5.699434958347911,0.9197258585427807,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,25.0,none,31.2,50.0,True,43.25,latent,91.35,91.59090431999999,91.59090431999999,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,002337,REJECT,1.69,0.01,53.37,1,tushare_pit_v1,48.54,60.62,reject,cyclical,core_resource,latent,2019-04-30,,0.0,1.6927492846640502,0.3637369510804352,stressed_book,100.0,43.122284412820505,43.122284412820505,5.935142916666667,0.21280297350722857,7.048024763502639,-2.1551958933965216,True,False,0.3,False,False,100.0,67.71,0.0,-0.3750942640299076,-0.08060003049599629,core_resource_mid_cycle,0.25,0.25,0.1,0.2,0.2,50.0,stabilizing,65.0,50.0,True,34.0,latent,96.25,100.0,100.0,False,50.0,True,0.0,0.457143,0.0,0.342857,0.2,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,002802,REJECT,2.35,0.99,48.56,1,tushare_pit_v1,48.76,48.26,reject,compounder,core_resource,latent,2019-04-30,,0.0,2.3487550155539387,0.222150993348394,stressed_book,80.0,2.0,2.0,1.5,,6.8873871477143185,22.23765121127578,True,False,0.8,True,False,100.0,65.81,0.0,0.6274092898680004,0.05934190499102137,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,25.0,none,49.2,50.0,True,43.25,latent,93.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,601788,REJECT,7.38,2.66,48.23,1,tushare_pit_v1,51.91,42.72,reject,compounder,unknown,latent,2019-04-30,,20.0,7.375614427605104,0.6376717526734046,conservative_book,100.0,34.79634840948888,34.79634840948888,7.943575436266586,0.4945136482530281,7.276534757538676,1.5579886991087486,True,False,0.8,True,False,100.0,41.54,0.0,2.125023140320031,0.18372262320109006,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,39.5,latent,22.0,10.0,10.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,300517,REJECT,2.59,0.38,47.79,1,tushare_pit_v1,51.0,42.98,reject,compounder,unknown,latent,2019-04-30,,0.0,2.5900418086024204,0.3133178363130926,conservative_book,100.0,4.46758898975,4.46758898975,1.6841758805,0.10783015959289093,5.735142152117713,13.754888639875006,True,False,0.8,True,False,100.0,55.0,0.0,0.5636475643346255,0.06818455003850415,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,49.2,50.0,True,33.25,latent,93.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,002040,REJECT,4.32,0.91,47.46,1,tushare_pit_v1,34.84,66.39,reject,cyclical,core_resource,ignition,2019-04-30,,0.0,4.317395637890662,0.5128513046245454,stressed_book,40.0,0.5089121855679701,0.5089121855679701,0.02848605534450652,-0.054610130924939514,4.677369704666374,3.301329057651752,True,False,0.3,True,False,100.0,74.19,0.0,0.45285708995205215,0.05379362209756944,core_resource_mid_cycle,0.25,0.25,0.1,0.2,0.2,50.0,stabilizing,65.0,50.0,True,52.0,ignition,94.25,100.0,100.0,False,50.0,True,0.0,0.457143,0.0,0.342857,0.2,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,300373,REJECT,0.56,2.0,47.41,1,tushare_pit_v1,47.74,46.91,reject,compounder,tech,latent,2019-04-30,,0.0,0.5595371645835323,0.036005300642284535,no_growth_owner_earnings,82.0,2.091753397696398,2.091753397696398,0.2791356060380163,0.06106809144381718,6.082302088545509,7.578575995739546,True,False,0.8,True,False,100.0,58.48,0.0,1.049132183594123,0.0675099387042835,owner_earnings_anchor,0.18,0.22,0.18,0.2,0.22,25.0,none,57.2,50.0,True,34.0,latent,96.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,002642,REJECT,3.18,0.17,46.14,1,tushare_pit_v1,40.62,54.42,reject,compounder,unknown,latent,2019-04-30,,0.0,3.178020819765671,0.577821967230122,conservative_book,72.0,1.5098160432303003,1.5098160432303003,-1.4803777108402265,0.028466762581151304,5.676967892010368,2.352571221645878,True,False,0.8,True,False,100.0,33.9,0.0,0.13812837406400102,0.02511424982981837,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,65.0,50.0,True,42.0,latent,96.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,002189,REJECT,3.54,1.24,45.46,1,tushare_pit_v1,47.02,43.13,reject,compounder,unknown,latent,2019-04-30,,0.0,3.5377915436905663,0.1470188950644411,conservative_book,100.0,4.5371290890000004,4.5371290890000004,1.2489269841904762,0.2533261763447088,6.390810046195127,6.727841470238507,True,False,0.8,True,False,100.0,35.11,0.0,0.6636012184436051,0.02757706797987895,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,49.2,50.0,True,33.25,latent,96.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,601038,REJECT,2.92,-4.71,42.9,1,tushare_pit_v1,39.22,48.41,reject,compounder,unknown,latent,2019-04-30,,0.0,2.9156757967699654,0.5954727461417549,conservative_book,49.0,0.8687219688453279,0.8687219688453279,0.06463368481263541,-0.028798935687169337,4.027861787974707,1.886791215400924,True,False,0.8,True,False,100.0,52.22,0.0,0.34549993151235975,0.07056195796438365,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,43.25,latent,96.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,600103,REJECT,1.11,0.16,41.23,1,tushare_pit_v1,44.33,36.59,reject,compounder,unknown,latent,2019-04-30,,0.0,1.111080271034209,0.46645552749240865,conservative_book,85.0,4.195070243492586,4.195070243492586,0.10034081262384291,0.30419161955805146,7.572586531100648,17.212795694045454,True,False,0.8,True,False,100.0,38.16,0.0,0.1827211196756397,0.07671027781185386,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,21.2,50.0,True,43.25,latent,96.25,100.0,100.0,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-04-30,2019-05-06,600827,REJECT,1.37,2.71,40.66,1,tushare_pit_v1,49.18,27.89,reject,compounder,consumer,latent,2019-04-30,,0.0,1.3724024005196955,0.14404264789464363,no_growth_owner_earnings,100.0,15.784044073487333,15.784044073487333,1.1647465916471822,0.25909096858899044,6.241239977344268,10.946147196515605,True,False,0.8,True,False,100.0,45.92,0.0,2.5732545009744294,0.27007996480245683,owner_earnings_anchor,0.18,0.22,0.18,0.2,0.22,25.0,none,21.2,50.0,True,33.25,latent,64.5,62.652156836,62.652156836,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
