signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components
2019-02-28,2019-03-01,600276,REJECT,2.28,6.26,39.2,1,tushare_pit_v1,42.12,34.81,reject,compounder,unknown,latent,2019-02-28,,0.0,2.276818333233752,0.05583162685250603,conservative_book,80.0,2.0,2.0,1.5,,8.48903502852349,34.72167856684821,True,False,0.8,True,False,100.0,32.61,0.0,5.004904574247946,0.12272914379819502,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-27,2019-03-28,600150,REJECT,8.1,3.5,44.22,1,tushare_pit_v1,48.8,37.34,reject,compounder,unknown,ignition,2019-03-27,,0.0,8.098616205086305,0.4046840516862139,conservative_book,90.0,3.127506005214201,3.127506005214201,0.48535618400561137,0.21775449689109438,5.838120208359611,1.3279124178580315,True,False,0.8,False,False,100.0,55.0,0.0,2.7996304221485473,0.13989621853514983,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,51.25,ignition,26.88,18.096851044,18.096851044,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601333,READY,3.44,5.05,69.63,1,tushare_pit_v1,78.78,55.91,ready,compounder,financial_asset,latent,2019-03-29,,85.0,3.440314110638884,1.0297286302375765,stressed_nav,80.0,2.0,2.0,1.5,,6.398067525224478,41.3864233687995,True,False,0.8,True,False,100.0,62.22,65.0,4.204828357447526,1.2585572147348159,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,49.2,50.0,True,43.25,latent,53.34,49.51214512,49.51214512,False,70.0,False,0.0,0.244444,0.0,0.305556,0.05,0.4,marginal_buyer_probability
2019-03-29,2019-04-01,601088,REJECT,9.06,17.13,51.82,1,tushare_pit_v1,61.4,37.45,reject,compounder,core_resource,latent,2019-03-29,business is not understandable,20.0,9.064068510578696,0.7142903162061552,stressed_book,100.0,16.801573286241773,16.801573286241773,14.167282067747632,0.16761148356972203,6.67106246349442,18.97821830641214,True,False,0.8,True,False,100.0,41.5,50.0,12.84472385151323,1.0122233576202702,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,002750,REJECT,1.21,0.35,48.82,1,tushare_pit_v1,45.05,54.47,reject,compounder,unknown,ignition,2019-03-29,,0.0,1.2123507671722844,0.07182172791305003,conservative_book,80.0,2.0,2.0,1.5,,9.249133999322337,0.42371518678338416,True,False,0.8,False,False,100.0,47.26,0.0,0.2770557479151061,0.016413255208240884,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,55.25,ignition,90.7,93.175092228,93.175092228,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,603259,REJECT,5.18,9.34,48.54,1,tushare_pit_v1,54.77,39.19,reject,compounder,core_resource,latent,2019-03-29,,0.0,5.175025162082205,0.13696000295725982,stressed_book,100.0,22.225920358824883,22.225920358824883,4.623421812878057,0.3322478741423695,8.643602357834169,34.75380286480865,True,False,0.8,True,False,100.0,73.85,0.0,7.00270383726262,0.18533056520915675,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,82.26,80.89636590399999,80.89636590399999,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600317,REJECT,1.3,1.49,46.05,1,tushare_pit_v1,51.0,38.63,reject,compounder,unknown,ignition,2019-03-29,,0.0,1.2981522424094691,0.4436211740366708,conservative_book,100.0,2.151793578368184,2.151793578368184,1.119567801508735,0.10761284815385967,6.717709061026751,8.51997652306899,True,False,0.8,True,False,100.0,55.0,0.0,1.190743923936724,0.4069162308215788,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,51.25,ignition,52.57,50.966395012999996,50.966395012999996,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,002013,REJECT,1.86,4.52,43.8,1,tushare_pit_v1,46.02,40.48,reject,compounder,core_military,ignition,2019-03-29,,0.0,1.8627643211452947,0.23839130348300627,conservative_book,62.0,1.1195819240154912,1.1195819240154912,-0.28847781739467093,0.014131833441751441,4.677919548564924,5.974664773396048,True,False,0.8,True,False,100.0,57.5,0.0,3.6144701817076785,0.4625696596378727,core_military_margin_anchor,0.18,0.22,0.18,0.25,0.17,20.0,none,21.2,50.0,True,57.5,ignition,23.61,14.242870967999998,14.242870967999998,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,000858,REJECT,24.59,62.24,42.69,1,tushare_pit_v1,44.68,39.7,reject,compounder,consumer,ignition,2019-03-29,,0.0,24.589960563502675,0.29036792383838766,no_growth_owner_earnings,80.0,2.0,2.0,1.5,,10.42920704339557,16.156884111699846,True,False,0.8,True,False,100.0,45.4,0.0,46.10617605656751,0.5444398571969769,owner_earnings_anchor,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601899,REJECT,1.33,1.9,41.09,1,tushare_pit_v1,43.52,37.45,reject,compounder,core_resource,latent,2019-03-29,,0.0,1.3268576751540486,0.4253747960226851,stressed_book,41.0,0.42951841241263294,0.42951841241263294,0.4040871481944696,-0.1279839935070956,3.8225073693482035,6.260946081083867,True,False,0.8,True,False,100.0,82.5,0.0,1.4216571752591578,0.45576638871221864,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
