signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components
2019-01-31,2019-02-01,920021,REJECT,,,45.79,0,tushare_pit_v1,49.42,40.34,reject,compounder,rigid_shovel,latent,2019-01-31,,0.0,,,unknown,95.0,10.037386878421051,10.037386878421051,0.6068611968421053,0.425669622160121,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,33.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-02-28,2019-03-01,920021,REJECT,,,45.79,0,tushare_pit_v1,49.42,40.34,reject,compounder,rigid_shovel,latent,2019-02-28,,0.0,,,unknown,95.0,10.037386878421051,10.037386878421051,0.6068611968421053,0.425669622160121,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,33.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-02-28,2019-03-01,600276,REJECT,2.58,7.51,42.5,1,tushare_pit_v1,47.62,34.81,reject,compounder,core_resource,latent,2019-02-28,,0.0,2.5803941109982524,0.0632758437661735,stressed_book,80.0,2.0,2.0,1.5,,8.48903502852349,34.72167856684821,True,False,0.8,True,False,100.0,60.11,0.0,5.630517646028939,0.1380702867729694,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-27,2019-03-28,600150,REJECT,8.64,4.55,45.64,1,tushare_pit_v1,50.8,37.89,reject,compounder,rigid_shovel,ignition,2019-03-27,,0.0,9.178431699097812,0.4586419252443757,stressed_book,90.0,3.127506005214201,3.127506005214201,0.4853561840056113,0.2177544968910943,5.838120208359611,1.3279124178580315,True,False,0.8,False,False,100.0,65.0,0.0,3.499538027685684,0.1748702731689373,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,51.25,ignition,26.88,18.096851044,18.096851044,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601333,READY,3.44,5.05,69.63,1,tushare_pit_v1,78.78,55.91,ready,compounder,financial_asset,latent,2019-03-29,,85.0,3.440314110638884,1.0297286302375763,stressed_nav,80.0,2.0,2.0,1.5,,6.398067525224478,41.3864233687995,True,False,0.8,True,False,100.0,62.22,65.0,4.204828357447526,1.258557214734816,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,49.2,50.0,True,43.25,latent,53.34,49.51214512,49.51214512,False,70.0,False,0.0,0.244444,0.0,0.305556,0.05,0.4,marginal_buyer_probability
2019-03-29,2019-04-01,000001,REJECT,10.64,15.6,56.0,1,tushare_pit_v1,66.67,39.99,reject,compounder,financial_asset,ignition,2019-03-29,,65.0,10.63703586783632,0.9814338227374408,stressed_nav,65.0,2.0,2.0,0.0,,3.813165174434387,0.3671533757643829,True,False,0.8,False,False,100.0,56.14,50.0,13.000821616244394,1.1995302277902056,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601088,REJECT,9.06,17.13,55.37,1,tushare_pit_v1,67.31,37.45,reject,compounder,core_resource,latent,2019-03-29,,20.0,9.064068510578696,0.7142903162061552,stressed_book,100.0,16.801573286241773,16.801573286241773,14.167282067747632,0.167611483569722,6.67106246349442,18.97821830641214,True,False,0.8,True,False,100.0,71.07,50.0,12.84472385151323,1.0122233576202702,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600284,REJECT,4.51,6.61,54.08,1,tushare_pit_v1,59.0,46.71,reject,compounder,financial_asset,ignition,2019-03-29,,20.0,4.5074587639161505,0.6900271076128521,stressed_nav,80.0,42.271697577,42.271697577,-0.4628859652,0.1747121471551504,6.269635922994009,22.38644140151893,True,False,0.8,True,False,100.0,81.34,30.0,5.509116267008628,0.8433664648601525,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,31.2,50.0,True,55.25,ignition,87.54,89.45634112,89.45634112,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,002750,REJECT,1.21,0.35,48.82,1,tushare_pit_v1,45.05,54.47,reject,compounder,unknown,ignition,2019-03-29,,0.0,1.2123507671722844,0.07182172791305,conservative_book,80.0,2.0,2.0,1.5,,9.249133999322336,0.4237151867833841,True,False,0.8,False,False,100.0,47.26,0.0,0.2770557479151061,0.0164132552082408,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,55.25,ignition,90.7,93.175092228,93.175092228,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,920021,REJECT,,,48.01,0,tushare_pit_v1,49.42,45.89,reject,compounder,rigid_shovel,latent,2019-03-29,,0.0,,,unknown,95.0,10.037386878421051,10.037386878421051,0.6068611968421053,0.425669622160121,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,43.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600317,REJECT,1.3,1.49,46.05,1,tushare_pit_v1,51.0,38.63,reject,compounder,unknown,ignition,2019-03-29,,0.0,1.2981522424094691,0.4436211740366708,conservative_book,100.0,2.151793578368184,2.151793578368184,1.119567801508735,0.1076128481538596,6.717709061026751,8.51997652306899,True,False,0.8,True,False,100.0,55.0,0.0,1.190743923936724,0.4069162308215788,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,51.25,ignition,52.57,50.966395013,50.966395013,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,603259,REJECT,4.57,7.78,45.24,1,tushare_pit_v1,49.27,39.19,reject,compounder,unknown,latent,2019-03-29,,0.0,4.566198672425475,0.1208470614328763,conservative_book,100.0,22.225920358824883,22.225920358824883,4.623421812878057,0.3322478741423695,8.643602357834169,34.75380286480865,True,False,0.8,True,False,100.0,46.35,0.0,6.224625633122328,0.1647382801859171,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,82.26,80.89636590399999,80.89636590399999,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,000795,REJECT,1.52,1.26,45.14,1,tushare_pit_v1,47.01,42.34,reject,compounder,rigid_shovel,ignition,2019-03-29,,0.0,1.6101619322612175,0.3245748022386392,stressed_book,87.0,5.051815190202667,5.051815190202667,0.5785208355816135,0.0998184233784204,6.664599817824572,9.916481143987223,True,False,0.8,True,False,100.0,49.37,0.0,0.9718734035140928,0.1959092507569015,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,31.2,50.0,True,51.25,ignition,94.25,100.0,100.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,000858,REJECT,24.59,62.24,42.69,1,tushare_pit_v1,44.68,39.7,reject,compounder,consumer,ignition,2019-03-29,,0.0,24.589960563502675,0.2903679238383876,no_growth_owner_earnings,80.0,2.0,2.0,1.5,,10.42920704339557,16.156884111699846,True,False,0.8,True,False,100.0,45.4,0.0,46.10617605656751,0.5444398571969769,owner_earnings_anchor,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600276,REJECT,2.59,7.53,42.5,1,tushare_pit_v1,47.62,34.81,reject,compounder,core_resource,latent,2019-03-29,,0.0,2.588177840923971,0.0579528834984873,stressed_book,80.0,2.0,2.0,1.5,,8.48903502852349,34.72167856684821,True,False,0.8,True,False,100.0,60.11,0.0,5.647502039425236,0.1264553859372504,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601788,REJECT,7.14,0.21,41.33,1,tushare_pit_v1,43.91,37.45,reject,compounder,unknown,latent,2019-03-29,,0.0,7.138987726904541,0.5834452392135929,conservative_book,80.0,22.95244883920951,22.95244883920951,-4.2957317258812875,0.4548072844412715,6.984711405779285,-0.5756854485625597,True,False,0.8,False,False,100.0,41.54,0.0,0.1666832388407271,0.0136224554346575,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,601899,REJECT,1.33,1.9,41.09,1,tushare_pit_v1,43.52,37.45,reject,compounder,core_resource,latent,2019-03-29,,0.0,1.3268576751540486,0.4253747960226851,stressed_book,41.0,0.4295184124126329,0.4295184124126329,0.4040871481944696,-0.1279839935070956,3.822507369348203,6.260946081083867,True,False,0.8,True,False,100.0,82.5,0.0,1.4216571752591578,0.4557663887122186,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,002013,REJECT,1.86,2.26,40.88,1,tushare_pit_v1,41.14,40.48,reject,compounder,unknown,ignition,2019-03-29,,0.0,1.8627643211452949,0.2383913034830062,conservative_book,62.0,1.1195819240154912,1.1195819240154912,-0.2884778173946709,0.0141318334417514,4.677919548564924,5.974664773396048,True,False,0.8,True,False,100.0,47.5,0.0,1.8072350908538393,0.2312848298189363,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,57.5,ignition,23.61,14.242870967999998,14.242870967999998,False,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,600036,REJECT,15.21,22.31,40.34,1,tushare_pit_v1,40.58,39.99,reject,compounder,financial_asset,ignition,2019-03-29,,0.0,15.20828335604594,0.5682414282637828,stressed_nav,65.0,2.0,2.0,0.0,,3.912482735372263,0.9814977335854588,True,False,0.8,False,False,100.0,55.22,0.0,18.587901879611707,0.6945173012112901,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,50.0,True,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
