signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components
2019-01-31,2019-02-01,920021,REJECT,,,45.79,0,tushare_pit_v1,49.42,40.34,reject,compounder,rigid_shovel,latent,2019-01-31,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,33.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-02-28,2019-03-01,920021,REJECT,,,45.79,0,tushare_pit_v1,49.42,40.34,reject,compounder,rigid_shovel,latent,2019-02-28,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,33.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-02-28,2019-03-01,600276,REJECT,2.58,7.51,44.33,1,tushare_pit_v1,47.62,39.4,reject,compounder,core_resource,latent,2019-02-28,,0.0,2.5803941109982524,0.0632758437661735,stressed_book,80.0,2.0,2.0,1.5,,8.48903502852349,34.72167856684821,True,False,0.8,True,False,100.0,60.11,0.0,5.630517646028939,0.1380702867729694,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,80.0,False,44.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality
2019-03-27,2019-03-28,600150,REJECT,8.64,4.55,46.72,1,tushare_pit_v1,50.8,40.61,reject,compounder,rigid_shovel,ignition,2019-03-27,,0.0,9.178431699097812,0.45864192524437575,stressed_book,90.0,3.127506005214201,3.127506005214201,0.48535618400561137,0.21775449689109438,5.838120208359611,1.3279124178580315,True,False,0.8,False,False,100.0,65.0,0.0,3.4995380276856842,0.1748702731689373,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,65.0,False,51.25,ignition,26.88,18.096851044,18.096851044,False,50.0,True,0.0,0.4,0.1,0.5,0.0,0.0,catalyst_quality
2019-03-29,2019-04-01,000001,REJECT,10.64,15.6,57.61,1,tushare_pit_v1,66.67,44.02,reject,compounder,financial_asset,ignition,2019-03-29,,65.0,10.637035867836321,0.9814338227374407,stressed_nav,65.0,2.0,2.0,0.0,,3.813165174434387,0.3671533757643829,True,False,0.8,False,False,100.0,56.14,50.0,13.000821616244394,1.1995302277902056,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,21.2,80.0,False,54.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality
2019-03-29,2019-04-01,601088,REJECT,9.06,17.13,56.49,1,tushare_pit_v1,67.31,40.26,reject,compounder,core_resource,latent,2019-03-29,,20.0,9.064068510578696,0.7142903162061552,stressed_book,100.0,16.801573286241773,16.801573286241773,14.167282067747632,0.16761148356972203,6.67106246349442,18.97821830641214,True,False,0.8,True,False,100.0,71.07,50.0,12.84472385151323,1.0122233576202702,core_resource_mid_cycle,0.23,0.22,0.18,0.2,0.17,20.0,none,21.2,65.0,False,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality
2019-03-29,2019-04-01,600284,REJECT,4.51,6.61,54.9,1,tushare_pit_v1,59.0,48.75,reject,compounder,financial_asset,ignition,2019-03-29,,20.0,4.5074587639161505,0.6900271076128521,stressed_nav,80.0,42.271697577,42.271697577,-0.4628859652,0.17471214715515046,6.269635922994009,22.38644140151893,True,False,0.8,True,False,100.0,81.34,30.0,5.509116267008628,0.8433664648601525,mid_cycle_roe_anchor,0.23,0.22,0.18,0.15,0.22,20.0,none,31.2,65.0,False,55.25,ignition,87.54,89.45634112,89.45634112,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality
2019-03-29,2019-04-01,601333,REJECT,2.87,1.04,51.82,1,tushare_pit_v1,54.24,48.18,reject,compounder,unknown,latent,2019-03-29,,65.0,2.8669284255324037,0.8581071918646471,conservative_book,80.0,2.0,2.0,1.5,,6.398067525224478,41.3864233687995,True,False,0.8,True,False,100.0,34.72,0.0,0.8310251753714228,0.2487361293208321,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,65.0,False,43.25,latent,53.34,49.51214512,49.51214512,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality
2019-03-29,2019-04-01,920021,REJECT,,,48.01,0,tushare_pit_v1,49.42,45.89,reject,compounder,rigid_shovel,latent,2019-03-29,,0.0,,,unknown,95.0,10.037386878421053,10.037386878421053,0.6068611968421053,0.42566962216012105,8.9578359028893,33.84257448064265,True,False,0.8,True,False,100.0,52.59,0.0,,,rigid_shovel_capex_mid_cycle,0.18,0.22,0.18,0.2,0.22,20.0,none,49.2,50.0,True,43.25,latent,15.0,60.0,60.0,False,50.0,True,0.0,0.444444,0.0,0.555556,0.0,0.0,marginal_buyer_probability; catalyst_quality
2019-03-29,2019-04-01,603259,REJECT,4.57,7.78,46.96,1,tushare_pit_v1,49.27,43.5,reject,compounder,unknown,latent,2019-03-29,,0.0,4.566198672425475,0.12084706143287632,conservative_book,100.0,22.225920358824883,22.225920358824883,4.623421812878057,0.3322478741423695,8.643602357834169,34.75380286480865,True,False,0.8,True,False,100.0,46.35,0.0,6.224625633122328,0.1647382801859171,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,80.0,False,49.5,latent,82.26,80.89636590399999,80.89636590399999,False,50.0,True,0.0,0.377778,0.1,0.472222,0.05,0.0,catalyst_quality
